stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
3981333,,"Amsterdam, Noord",52.40117,4.931229,0,stoparea:615085,,1,1,
stoparea:615085,Noord,Noord,52.402038875,4.932531624999999,1,,,0,,
3980581,,"Amsterdam, Noorderpark",52.388553,4.917874,0,stoparea:615099,,1,1,
stoparea:615099,Noorderpark,Noorderpark,52.38909925,4.919124,1,,,0,,
3979722,,"Amsterdam, Centraal Station",52.377954,4.899511,0,stoparea:615089,,1,,
stoparea:615089,Centraal Station,Centraal Station,52.378903705882344,4.900759823529412,1,,,0,,
3980118,,"Amsterdam, Rokin",52.369278,4.892294,0,stoparea:615104,,1,1,
stoparea:615104,Rokin,Rokin,52.36956575000001,4.8923275,1,,,0,,
3980837,,"Amsterdam, Vijzelgracht",52.359799,4.890726,0,stoparea:615087,,1,1,
stoparea:615087,Vijzelgracht,Vijzelgracht,52.35938866666667,4.891220000000001,1,,,0,,
3980523,,"Amsterdam, De Pijp",52.35296,4.891008,0,stoparea:615112,,1,1,
stoparea:615112,De Pijp,De Pijp,52.35291125,4.8906417499999995,1,,,0,,
3980201,,"Amsterdam, Europaplein",52.341852,4.891308,0,stoparea:615090,,0,1,
stoparea:615090,Europaplein,Europaplein,52.340704200000005,4.8918756000000005,1,,,0,,
3980926,,"Amsterdam, Station Zuid",52.339254,4.874111,0,stoparea:615088,,1,,
stoparea:615088,Station Zuid,Station Zuid,52.34010255555555,4.873660777777777,1,,,0,,
3979688,,"Amsterdam, Noord",52.40192,4.932368,0,stoparea:615085,,1,2,
3979735,,"Amsterdam, Europaplein",52.341288,4.891828,0,stoparea:615090,,1,2,
3980395,,"Amsterdam, De Pijp",52.353338,4.891063,0,stoparea:615112,,1,2,
3979710,,"Amsterdam, Vijzelgracht",52.360303,4.890985,0,stoparea:615087,,1,2,
3980373,,"Amsterdam, Rokin",52.369738,4.892612,0,stoparea:615104,,1,2,
3981395,,"Amsterdam, Centraal Station",52.378208,4.899949,0,stoparea:615089,,1,,
3979933,,"Amsterdam, Noorderpark",52.389459,4.919774,0,stoparea:615099,,1,2,
3980158,,"Amsterdam, Spaklerweg",52.340239,4.92107,0,stoparea:615105,,1,2,
stoparea:615105,Spaklerweg,Spaklerweg,52.3400274,4.9208138,1,,,0,,
3980520,,"Amsterdam, Amstelstation",52.346489,4.91757,0,stoparea:615111,,1,2,
stoparea:615111,Amstelstation,Amstelstation,52.346498222222216,4.918561444444445,1,,,0,,
3980265,,"Amsterdam, Wibautstraat",52.354332,4.912188,0,stoparea:615109,,1,2,
stoparea:615109,Wibautstraat,Wibautstraat,52.35565466666666,4.911029166666666,1,,,0,,
3981336,,"Amsterdam, Weesperplein",52.361236,4.907945,0,stoparea:615086,,1,2,
stoparea:615086,Weesperplein,Weesperplein,52.36129639999999,4.907909,1,,,0,,
3980640,,"Amsterdam, Waterlooplein",52.366986,4.90314,0,stoparea:615100,,1,2,
stoparea:615100,Waterlooplein,Waterlooplein,52.3674668,4.903273,1,,,0,,
3981245,,"Amsterdam, Nieuwmarkt",52.371913,4.901427,0,stoparea:615120,,1,2,
stoparea:615120,Nieuwmarkt,Nieuwmarkt,52.3719265,4.9013314999999995,1,,,0,,
3979920,,"Amsterdam, Centraal Station",52.377492,4.900779,0,stoparea:615089,,1,,
3980335,,"Amsterdam, Gaasperplas",52.311225,4.984488,0,stoparea:615108,,1,2,
stoparea:615108,Gaasperplas,Gaasperplas,52.31115942857143,4.984706857142856,1,,,0,,
3979765,,"Amsterdam, Kraaiennest",52.316816,4.979378,0,stoparea:615093,,1,2,
stoparea:615093,Kraaiennest,Kraaiennest,52.3164086,4.9799978,1,,,0,,
3979808,,"Amsterdam, Ganzenhoef",52.323984,4.972858,0,stoparea:615095,,1,2,
stoparea:615095,Ganzenhoef,Ganzenhoef,52.323146599999994,4.973437799999999,1,,,0,,
3980003,,"Diemen, Verrijn Stuartweg",52.328815,4.966549,0,stoparea:615101,,1,2,
stoparea:615101,Verrijn Stuartweg,Verrijn Stuartweg,52.328627,4.9667414999999995,1,,,0,,
3980840,,"Diemen, Station Diemen Zuid",52.330206,4.956105,0,stoparea:615121,,1,,
stoparea:615121,Station Diemen Zuid,Station Diemen Zuid,52.330532250000005,4.95674025,1,,,0,,
3980490,,"Amsterdam, Venserpolder",52.326727,4.946047,0,stoparea:615102,,1,2,
stoparea:615102,Venserpolder,Venserpolder,52.326759499999994,4.946346999999999,1,,,0,,
3980635,,"Amsterdam, Van der Madeweg",52.329857,4.930172,0,stoparea:615114,,1,4,
