service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Other-1,0,0,0,0,0,0,0,20260819,20261129
Other-15,0,0,0,0,0,0,0,20260819,20261129
Other-16,0,0,0,0,0,0,0,20260819,20261129
Other-17,0,0,0,0,0,0,0,20260819,20261129
Other-18,0,0,0,0,0,0,0,20260819,20261129
Other-19,0,0,0,0,0,0,0,20260819,20261129
Other-2,0,0,0,0,0,0,0,20260819,20261129
Other-20,0,0,0,0,0,0,0,20260819,20261129
Other-21,0,0,0,0,0,0,0,20260819,20261129
Other-22,0,0,0,0,0,0,0,20260819,20261129
Other-23,0,0,0,0,0,0,0,20260819,20261129
Other-24,0,0,0,0,0,0,0,20260819,20261129
Other-25,0,0,0,0,0,0,0,20260819,20261129
Other-26,0,0,0,0,0,0,0,20260819,20261129
Other-27,0,0,0,0,0,0,0,20260819,20261129
Other-28,0,0,0,0,0,0,0,20260819,20261129
Other-4,0,0,0,0,0,0,0,20260819,20261129
Other-5,0,0,0,0,0,0,0,20260819,20261129
Other-6,0,0,0,0,0,0,0,20260819,20261129
Other-8,0,0,0,0,0,0,0,20260819,20261129
Other-9,0,0,0,0,0,0,0,20260819,20261129
Saturday-2,0,0,0,0,0,1,0,20260819,20260828
Sunday-4,0,0,0,0,0,0,1,20260819,20260828
