service_id,date,exception_type
Other-1,20260827,1
Other-1,20260910,1
Other-15,20260819,1
Other-15,20260820,1
Other-15,20260821,1
Other-15,20260824,1
Other-15,20260825,1
Other-15,20260826,1
Other-15,20260827,1
Other-15,20260828,1
Other-15,20260831,1
Other-15,20260901,1
Other-15,20260902,1
Other-15,20260903,1
Other-15,20260904,1
Other-15,20260907,1
Other-15,20260908,1
Other-15,20260909,1
Other-15,20260910,1
Other-15,20260911,1
Other-16,20260822,1
Other-16,20260829,1
Other-16,20260905,1
Other-16,20260912,1
Other-17,20260819,1
Other-17,20260820,1
Other-17,20260821,1
Other-17,20260824,1
Other-17,20260825,1
Other-17,20260826,1
Other-17,20260828,1
Other-17,20260831,1
Other-17,20260901,1
Other-17,20260902,1
Other-17,20260903,1
Other-17,20260904,1
Other-17,20260907,1
Other-17,20260908,1
Other-17,20260909,1
Other-17,20260911,1
Other-18,20260819,1
Other-18,20260820,1
Other-18,20260821,1
Other-18,20260824,1
Other-18,20260825,1
Other-18,20260826,1
Other-18,20260828,1
Other-18,20260901,1
Other-18,20260902,1
Other-18,20260903,1
Other-18,20260904,1
Other-18,20260907,1
Other-18,20260908,1
Other-18,20260909,1
Other-18,20260911,1
Other-19,20260821,1
Other-19,20260828,1
Other-19,20260904,1
Other-19,20260911,1
Other-2,20260823,1
Other-2,20260830,1
Other-2,20260906,1
Other-20,20260819,1
Other-20,20260820,1
Other-20,20260821,1
Other-20,20260824,1
Other-20,20260825,1
Other-20,20260826,1
Other-20,20260827,1
Other-20,20260828,1
Other-20,20260901,1
Other-20,20260902,1
Other-20,20260903,1
Other-20,20260904,1
Other-20,20260907,1
Other-20,20260908,1
Other-20,20260909,1
Other-20,20260910,1
Other-20,20260911,1
Other-21,20260829,1
Other-21,20260905,1
Other-21,20260912,1
Other-22,20260819,1
Other-22,20260820,1
Other-22,20260824,1
Other-22,20260825,1
Other-22,20260826,1
Other-22,20260827,1
Other-22,20260831,1
Other-22,20260901,1
Other-22,20260902,1
Other-22,20260903,1
Other-22,20260907,1
Other-22,20260908,1
Other-22,20260909,1
Other-22,20260910,1
Other-23,20260821,1
Other-23,20260824,1
Other-23,20260827,1
Other-23,20260828,1
Other-23,20260831,1
Other-23,20260904,1
Other-23,20260907,1
Other-23,20260910,1
Other-23,20260911,1
Other-24,20260821,1
Other-24,20260824,1
Other-24,20260826,1
Other-24,20260827,1
Other-24,20260828,1
Other-24,20260831,1
Other-24,20260904,1
Other-24,20260907,1
Other-24,20260909,1
Other-24,20260910,1
Other-24,20260911,1
Other-25,20260819,1
Other-25,20260820,1
Other-25,20260821,1
Other-25,20260825,1
Other-25,20260826,1
Other-25,20260827,1
Other-25,20260828,1
Other-25,20260901,1
Other-25,20260902,1
Other-25,20260903,1
Other-25,20260904,1
Other-25,20260908,1
Other-25,20260909,1
Other-25,20260910,1
Other-25,20260911,1
Other-26,20260819,1
Other-26,20260820,1
Other-26,20260821,1
Other-26,20260825,1
Other-26,20260826,1
Other-26,20260827,1
Other-26,20260828,1
Other-26,20260831,1
Other-26,20260901,1
Other-26,20260902,1
Other-26,20260903,1
Other-26,20260904,1
Other-26,20260908,1
Other-26,20260909,1
Other-26,20260910,1
Other-26,20260911,1
Other-27,20260830,1
Other-27,20260906,1
Other-28,20260819,1
Other-28,20260820,1
Other-28,20260821,1
Other-28,20260825,1
Other-28,20260826,1
Other-28,20260828,1
Other-28,20260901,1
Other-28,20260902,1
Other-28,20260903,1
Other-28,20260904,1
Other-28,20260908,1
Other-28,20260909,1
Other-28,20260911,1
Other-4,20260819,1
Other-4,20260820,1
Other-4,20260825,1
Other-4,20260901,1
Other-4,20260902,1
Other-4,20260903,1
Other-4,20260908,1
Other-5,20260826,1
Other-5,20260909,1
Other-6,20260819,1
Other-6,20260820,1
Other-6,20260825,1
Other-6,20260826,1
Other-6,20260901,1
Other-6,20260902,1
Other-6,20260903,1
Other-6,20260908,1
Other-6,20260909,1
Other-8,20260824,1
Other-8,20260907,1
Other-9,20260831,1
