route_id,service_id,trip_id,trip_headsign
EAST-201,Other-16,246-850001-34260-2-4518620-7cc2038d,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-34260-2-4718610-1de72b06,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-35460-2-4520630-f6dd149f,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-35460-2-4720640-f2502b0a,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-15,246-850001-36660-2-4246173-2ec9f805,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-36660-2-4522640-8e97ed76,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-36660-2-4722630-94a91b82,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-15,246-850001-37860-2-4248122-cb1666c3,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-37860-2-4524600-b5b8e4b7,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-37860-2-4724600-57e22356,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-15,246-850001-39060-2-4250112-f8451877,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-39060-2-4526610-f569d1ef,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-39060-2-4726620-8d79179b,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-40260-2-4528620-2dcf53e4,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-40260-2-4728610-32fc2c1e,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-41460-2-4530630-720f6646,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-41460-2-4730640-36770eea,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-15,246-850001-42660-2-4256173-826221fe,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-42660-2-4532640-bbbad81e,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-42660-2-4732630-81871788,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-15,246-850001-43860-2-5200122-ad5af54c,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-43860-2-5500600-29f42cf6,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-43860-2-5700600-0b855f92,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-15,246-850001-45060-2-5202112-67f08819,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-45060-2-5502610-ce04c8b2,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-45060-2-5702620-ee1cd3e3,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-15,246-850001-46260-2-5204152-cbd357ec,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-16,246-850001-46260-2-5504620-5329cb68,Manukau 1 To Brit 1 Via Panmure
EAST-201,Other-2,246-850001-46260-2-5704610-9fd95ee2,Manukau 1 To Brit 1 Via Panmure
