service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
QR 26_27-43852,1,1,1,1,0,0,0,20260825,20261021
QR 26_27-43853,1,1,1,1,0,0,0,20260915,20260916
QR 26_27-43854,0,0,0,0,1,0,0,20260828,20261016
QR 26_27-43501,1,1,1,1,0,0,0,20260903,20260917
QR 26_27-43503,0,0,0,0,0,1,0,20260905,20261017
QR 26_27-43506,0,0,0,0,0,0,1,20260906,20261018
QR 26_27-43708,0,0,0,0,0,1,0,20260822,20260822
QR 26_27-43709,0,0,0,0,0,0,1,20260823,20260823
QR 26_27-43865,1,1,1,1,0,0,0,20260824,20260824
QR 26_27-43781,0,0,0,0,0,1,0,20260829,20260829
QR 26_27-43782,0,0,0,0,0,0,1,20260830,20260830
QR 26_27-43927,1,1,1,1,0,0,0,20260831,20260831
QR 26_27-43925,1,1,1,1,0,0,0,20260901,20260901
QR 26_27-43915,1,1,1,1,0,0,0,20260902,20260902
