stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
10120,010120,Andrew St near Ronald St Stop 100,, -27.445804, 153.170164,1,https://translink.com.au/stop/010120/gtfs/,0,place_wynsta,
10277,010277,South Pine Rd near Station St,, -27.312393, 152.990364,1,https://translink.com.au/stop/010277/gtfs/,0,place_strsta,
10311,010311,Dawson Pde at Grovely station,, -27.404816, 152.961800,1,https://translink.com.au/stop/010311/gtfs/,0,place_grosta,
10920,010920,Abbotsford Rd at Bowen Hills,, -27.445741, 153.038086,1,https://translink.com.au/stop/010920/gtfs/,0,place_bowsta,
11115,011115,"Junction Rd at Eagle Junction station, stop 28/1",, -27.414810, 153.050168,1,https://translink.com.au/stop/011115/gtfs/,0,place_egjsta,
11116,011116,"Junction Rd at Eagle Junction station, stop 28",, -27.414887, 153.049736,1,https://translink.com.au/stop/011116/gtfs/,0,place_egjsta,
11209,011209,"Richlands bus station, stop B",, -27.595526, 152.947424,1,https://translink.com.au/stop/011209/gtfs/,0,place_ricsta,B
11210,011210,"Richlands bus station, stop A",, -27.595706, 152.947547,1,https://translink.com.au/stop/011210/gtfs/,0,place_ricsta,A
11324,011324,Dawson Pde at Grovely station,, -27.405072, 152.961974,1,https://translink.com.au/stop/011324/gtfs/,0,place_grosta,
11370,011370,Thorneside station,, -27.486357, 153.193220,1,https://translink.com.au/stop/011370/gtfs/,0,place_thosta,
12026,012026,Darra Shops,, -27.566039, 152.953622,1,https://translink.com.au/stop/012026/gtfs/,0,place_darsta,
12105,012105,"Ferny Grove station, stop B (Temporary)",, -27.401679, 152.935889,1,https://translink.com.au/stop/012105/gtfs/,0,place_fersta,B
12106,012106,"Ferny Grove station, stop C",, -27.401392, 152.934942,1,https://translink.com.au/stop/012106/gtfs/,0,place_fersta,C
12107,012107,"Ferny Grove station, stop D",, -27.401524, 152.934803,1,https://translink.com.au/stop/012107/gtfs/,0,place_fersta,D
124,000124,Roma Street Stop 124 at Roma Street station,, -27.466288, 153.017988,1,https://translink.com.au/stop/000124/gtfs/,0,place_romsta,
13113,013113,Wilruna St at Wacol train station,, -27.589347, 152.923567,1,https://translink.com.au/stop/013113/gtfs/,0,place_wacsta,
13114,013114,Wilruna St at Wacol train station,, -27.589408, 152.923690,1,https://translink.com.au/stop/013114/gtfs/,0,place_wacsta,
13119,013119,Wilruna St at Gailes station,, -27.601893, 152.918907,1,https://translink.com.au/stop/013119/gtfs/,0,place_gaista,
13120,013120,Wilruna St at Gailes station,, -27.602078, 152.918965,1,https://translink.com.au/stop/013120/gtfs/,0,place_gaista,
14223,014223,Wooloowin station - Bridge St,, -27.420478, 153.043130,1,https://translink.com.au/stop/014223/gtfs/,0,place_wolsta,
2069,002069,"Samford Rd at Gaythorne station, stop 32",, -27.419568, 152.984854,1,https://translink.com.au/stop/002069/gtfs/,0,place_gaysta,
2070,002070,"Samford Rd at Gaythorne station, stop 32",, -27.418676, 152.983783,1,https://translink.com.au/stop/002070/gtfs/,0,place_gaysta,
250,000250,Abbotsford Rd at Bowen Hills near Folkestone St,, -27.443348, 153.038671,1,https://translink.com.au/stop/000250/gtfs/,0,place_bowsta,
2691,002691,"Wynnum Rd at Morningside Rail, stop 25",, -27.470201, 153.069358,1,https://translink.com.au/stop/002691/gtfs/,0,place_mgssta,
2696,002696,"Wynnum Rd at Morningside Rail, stop 25",, -27.470130, 153.069832,1,https://translink.com.au/stop/002696/gtfs/,0,place_mgssta,
2879,002879,"Barrack Rd near Bombery St, stop 60",, -27.466679, 153.089242,1,https://translink.com.au/stop/002879/gtfs/,0,place_cansta,
2880,002880,"Barrack Rd near Bombery St, stop 60",, -27.466565, 153.089139,1,https://translink.com.au/stop/002880/gtfs/,0,place_cansta,
300036,300036,Ormeau station,, -27.799379, 153.282396,1,https://translink.com.au/stop/300036/gtfs/,0,place_omesta,
300051,300051,"Varsity Lakes station, stop A",, -28.096890, 153.399833,1,https://translink.com.au/stop/300051/gtfs/,0,place_varsta,
301487,301487,Beerburrum station,, -26.960009, 152.958837,1,https://translink.com.au/stop/301487/gtfs/,0,place_bbrsta,
301494,301494,"Landsborough station, stop B",, -26.808127, 152.966176,1,https://translink.com.au/stop/301494/gtfs/,0,place_lansta,
