route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
IPBR-5075,QR 26_27-43852,38516015-QR 26_27-43852-1001,Bowen Hills station,1,,IPBR0074
SPBR-5075,QR 26_27-43852,38516017-QR 26_27-43852-10H3,Bowen Hills station,1,,SPBR0032
IPBR-5075,QR 26_27-43852,38516018-QR 26_27-43852-10Q5,Bowen Hills station,1,,IPBR0405
BRCA-5075,QR 26_27-43852,38516019-QR 26_27-43852-11Q1,Caboolture station,1,,BRCA0099
CAIP-5075,QR 26_27-43852,38516020-QR 26_27-43852-1518,Ipswich station,0,,CAIP1460
IPCA-5075,QR 26_27-43852,38516021-QR 26_27-43852-1119,Caboolture station,1,,IPCA0220
CAIP-5075,QR 26_27-43852,38516022-QR 26_27-43852-1534,Ipswich station,0,,CAIP1459
IPCA-5075,QR 26_27-43852,38516023-QR 26_27-43852-1129,Caboolture station,1,,IPCA0740
CASP-5075,QR 26_27-43852,38516024-QR 26_27-43852-1K68,Springfield Central station,0,,CASP0048
BRIP-5075,QR 26_27-43852,38516025-QR 26_27-43852-15Q2,Ipswich station,0,,BRIP0093
BRBN-5075,QR 26_27-43852,38516026-QR 26_27-43852-1702,Beenleigh station,0,,BRBN0323
BNBR-5075,QR 26_27-43852,38516027-QR 26_27-43852-1M07,Bowen Hills station,1,,BNBR0697
BRBN-5075,QR 26_27-43852,38516028-QR 26_27-43852-1704,Beenleigh station,0,,BRBN0323
BNBR-5075,QR 26_27-43852,38516029-QR 26_27-43852-1M09,Bowen Hills station,1,,BNBR0697
BRBN-5075,QR 26_27-43852,38516030-QR 26_27-43852-1742,Beenleigh station,0,,BRBN0323
BNFG-5075,QR 26_27-43852,38516031-QR 26_27-43852-1EQ3,Ferny Grove station,1,,BNFG1831
FGBR-5075,QR 26_27-43852,38516032-QR 26_27-43852-1R96,Roma Street station,0,,FGBR0131
BRFG-5075,QR 26_27-43852,38516033-QR 26_27-43852-1E83,Ferny Grove station,1,,BRFG0121
FGBR-5075,QR 26_27-43852,38516034-QR 26_27-43852-1RB2,Roma Street station,0,,FGBR0606
BRBN-5075,QR 26_27-43852,38516035-QR 26_27-43852-1758,Beenleigh station,0,,BRBN0335
BNBR-5075,QR 26_27-43852,38516036-QR 26_27-43852-1M75,Bowen Hills station,1,,BNBR0709
BRBN-5075,QR 26_27-43852,38516037-QR 26_27-43852-1770,Beenleigh station,0,,BRBN0323
BNBR-5075,QR 26_27-43852,38516038-QR 26_27-43852-1M95,Bowen Hills station,1,,BNBR0709
BRBN-5075,QR 26_27-43852,38516039-QR 26_27-43852-1772,Beenleigh station,0,,BRBN0323
BNBR-5075,QR 26_27-43852,38516040-QR 26_27-43852-1MA1,Bowen Hills station,1,,BNBR0699
BRBN-5075,QR 26_27-43852,38516041-QR 26_27-43852-1774,Beenleigh station,0,,BRBN0323
BNBR-5075,QR 26_27-43852,38516042-QR 26_27-43852-1035,Bowen Hills station,1,,BNBR0699
BRBN-5075,QR 26_27-43852,38516043-QR 26_27-43852-17Q2,Beenleigh station,0,,BRBN0335
SHCL-5075,QR 26_27-43852,38516044-QR 26_27-43852-1816,Cleveland station,0,,SHCL0965
CLSH-5075,QR 26_27-43852,38516045-QR 26_27-43852-1W19,Northgate station,1,,CLSH1933
SHCL-5075,QR 26_27-43852,38516046-QR 26_27-43852-1824,Cleveland station,0,,SHCL1318
CLSH-5075,QR 26_27-43852,38516047-QR 26_27-43852-1A39,Shorncliffe station,1,,CLSH1977
SHCL-5075,QR 26_27-43852,38516048-QR 26_27-43852-1840,Cleveland station,0,,SHCL1318
CLSH-5075,QR 26_27-43852,38516049-QR 26_27-43852-1A55,Shorncliffe station,1,,CLSH1981
SHCL-5075,QR 26_27-43852,38516050-QR 26_27-43852-1866,Cleveland station,0,,SHCL1324
CLSH-5075,QR 26_27-43852,38516051-QR 26_27-43852-1A85,Shorncliffe station,1,,CLSH1981
SHCL-5075,QR 26_27-43852,38516052-QR 26_27-43852-1890,Cleveland station,0,,SHCL1318
CLSH-5075,QR 26_27-43852,38516053-QR 26_27-43852-1AA1,Shorncliffe station,1,,CLSH1977
SHBR-5075,QR 26_27-43852,38516054-QR 26_27-43852-1RD4,Roma Street station,0,,SHBR0676
SHCL-5075,QR 26_27-43852,38516055-QR 26_27-43852-1856,Cleveland station,0,,SHCL0991
CLSH-5075,QR 26_27-43852,38516056-QR 26_27-43852-1W51,Northgate station,1,,CLSH1933
SHCL-5075,QR 26_27-43852,38516057-QR 26_27-43852-1872,Cleveland station,0,,SHCL0991
CLSH-5075,QR 26_27-43852,38516058-QR 26_27-43852-1W59,Northgate station,1,,CLSH1933
SHCL-5075,QR 26_27-43852,38516059-QR 26_27-43852-18A4,Cleveland station,0,,SHCL1329
BRCL-5075,QR 26_27-43852,38516060-QR 26_27-43852-18Q8,Lota station,0,,BRCL0457
