trip_id,arrival_time,departure_time,stop_id,stop_sequence
T1A,08:05:00,08:05:00,8041,1
T1A,08:20:00,08:20:00,8161,2
T1B,08:07:00,08:07:00,8042,1
T1B,08:22:00,08:22:00,8381,2
T2A,08:10:00,08:10:00,8401,1
T2A,08:25:00,08:25:00,8763,2
T2B,08:12:00,08:12:00,8402,1
T2B,08:27:00,08:27:00,8471,2
T2C,08:02:00,08:02:00,8471,1
T2C,08:17:00,08:17:00,8401,2
T2C,08:32:00,08:32:00,8763,3
T6A,08:14:00,08:14:00,8401,1
T6A,08:29:00,08:29:00,8763,2
T6A,08:44:00,08:44:00,8833,3
T6B,08:16:00,08:16:00,8402,1
T6B,08:31:00,08:31:00,8471,2
