trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
stockel-1,19:03:00,19:03:00,8041,1,0
stockel-2,19:08:00,19:08:00,8041,1,0
stockel-3,19:14:00,19:14:00,8041,1,0
stockel-4,19:20:00,19:20:00,8041,1,0
stockel-5,19:26:00,19:26:00,8041,1,0
stockel-6,19:32:00,19:32:00,8041,1,0
stockel-7,19:38:00,19:38:00,8041,1,0
stockel-8,19:44:00,19:44:00,8041,1,0
ouest-1,19:05:00,19:05:00,8041,1,0
ouest-2,19:11:00,19:11:00,8041,1,0
ouest-3,19:17:00,19:17:00,8041,1,0
ouest-4,19:23:00,19:23:00,8041,1,0
ouest-5,19:29:00,19:29:00,8041,1,0
ouest-6,19:35:00,19:35:00,8041,1,0
ouest-7,19:41:00,19:41:00,8041,1,0
ouest-8,19:47:00,19:47:00,8041,1,0
depot-1,19:10:00,19:10:00,8041,1,0
