trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
465,06:00:00,06:00:00,8100,1,Alinga Street,0,1,1
465,06:01:44,06:02:04,8104,2,Alinga Street,0,0,1
465,06:03:34,06:03:54,8106,3,Alinga Street,0,0,1
465,06:05:10,06:05:30,8108,4,Alinga Street,0,0,1
465,06:07:02,06:07:22,8110,5,Alinga Street,0,0,1
465,06:09:07,06:09:27,8112,6,Alinga Street,0,0,1
465,06:11:05,06:11:25,8114,7,Alinga Street,0,0,1
465,06:13:22,06:13:42,8116,8,Alinga Street,0,0,1
465,06:15:32,06:15:52,8118,9,Alinga Street,0,0,1
465,06:17:23,06:17:43,8120,10,Alinga Street,0,0,1
465,06:19:25,06:19:45,8122,11,Alinga Street,0,0,1
465,06:20:57,06:21:17,8124,12,Alinga Street,0,0,1
465,06:22:47,06:23:07,8126,13,Alinga Street,0,0,1
465,06:24:45,06:24:45,8129,14,Alinga Street,1,0,1
310,06:30:00,06:30:00,8129,1,Gungahlin Place,0,1,1
310,06:31:54,06:32:14,8127,2,Gungahlin Place,0,0,1
310,06:33:19,06:33:39,8125,3,Gungahlin Place,0,0,1
310,06:34:35,06:34:55,8123,4,Gungahlin Place,0,0,1
310,06:36:29,06:36:49,8121,5,Gungahlin Place,0,0,1
310,06:38:26,06:38:46,8119,6,Gungahlin Place,0,0,1
310,06:40:31,06:40:51,8117,7,Gungahlin Place,0,0,1
310,06:42:47,06:43:07,8115,8,Gungahlin Place,0,0,1
310,06:44:57,06:45:17,8113,9,Gungahlin Place,0,0,1
310,06:46:58,06:47:18,8111,10,Gungahlin Place,0,0,1
310,06:49:08,06:49:28,8109,11,Gungahlin Place,0,0,1
310,06:50:45,06:51:05,8107,12,Gungahlin Place,0,0,1
310,06:52:45,06:53:05,8105,13,Gungahlin Place,0,0,1
310,06:54:45,06:54:45,8100,14,Gungahlin Place,1,0,1
469,07:00:00,07:00:00,8100,1,Alinga Street,0,1,1
469,07:01:44,07:02:04,8104,2,Alinga Street,0,0,1
469,07:03:34,07:03:54,8106,3,Alinga Street,0,0,1
469,07:05:10,07:05:30,8108,4,Alinga Street,0,0,1
469,07:07:02,07:07:22,8110,5,Alinga Street,0,0,1
