route_id,service_id,trip_id,trip_headsign
ACTO001,FR,465,Alinga St
ACTO001,FR,310,Gungahlin Pl
ACTO001,FR,469,Alinga St
ACTO001,FR,330,Gungahlin Pl
ACTO001,FR,481,Alinga St
ACTO001,FR,342,Gungahlin Pl
ACTO001,FR,493,Alinga St
ACTO001,FR,357,Gungahlin Pl
ACTO001,FR,502,Alinga St
ACTO001,FR,369,Gungahlin Pl
ACTO001,FR,508,Alinga St
ACTO001,FR,375,Gungahlin Pl
ACTO001,FR,514,Alinga St
ACTO001,FR,381,Gungahlin Pl
ACTO001,FR,520,Alinga St
ACTO001,FR,387,Gungahlin Pl
ACTO001,FR,526,Alinga St
ACTO001,FR,393,Gungahlin Pl
ACTO001,FR,536,Alinga St
ACTO001,FR,401,Gungahlin Pl
ACTO001,FR,548,Alinga St
ACTO001,FR,411,Gungahlin Pl
ACTO001,FR,558,Alinga St
ACTO001,FR,421,Gungahlin Pl
ACTO001,FR,568,Alinga St
ACTO001,FR,431,Gungahlin Pl
ACTO001,FR,581,Alinga St
ACTO001,FR,438,Gungahlin Pl
ACTO001,FR,591,Alinga St
ACTO001,FR,442,Gungahlin Pl
ACTO001,FR,595,Alinga St
ACTO001,FR,446,Gungahlin Pl
ACTO001,FR,599,Alinga St
ACTO001,FR,450,Gungahlin Pl
ACTO001,FR,603,Alinga St
ACTO001,FR,454,Gungahlin Pl
ACTO001,FR,607,Alinga St
ACTO001,FR,458,Gungahlin Pl
ACTO001,FR,466,Alinga St
ACTO001,FR,315,Gungahlin Pl
ACTO001,FR,472,Alinga St
ACTO001,FR,333,Gungahlin Pl
ACTO001,FR,484,Alinga St
ACTO001,FR,345,Gungahlin Pl
ACTO001,FR,496,Alinga St
ACTO001,FR,308,Gungahlin Pl
ACTO001,FR,467,Alinga St
ACTO001,FR,319,Gungahlin Pl
ACTO001,FR,475,Alinga St
ACTO001,FR,336,Gungahlin Pl
ACTO001,FR,487,Alinga St
ACTO001,FR,348,Gungahlin Pl
ACTO001,FR,499,Alinga St
ACTO001,FR,366,Gungahlin Pl
ACTO001,FR,505,Alinga St
ACTO001,FR,372,Gungahlin Pl
ACTO001,FR,511,Alinga St
ACTO001,FR,378,Gungahlin Pl
ACTO001,FR,517,Alinga St
ACTO001,FR,384,Gungahlin Pl
ACTO001,FR,523,Alinga St
ACTO001,FR,390,Gungahlin Pl
ACTO001,FR,529,Alinga St
ACTO001,FR,396,Gungahlin Pl
ACTO001,FR,543,Alinga St
ACTO001,FR,406,Gungahlin Pl
ACTO001,FR,553,Alinga St
ACTO001,FR,416,Gungahlin Pl
ACTO001,FR,563,Alinga St
ACTO001,FR,426,Gungahlin Pl
ACTO001,FR,573,Alinga St
ACTO001,FR,436,Gungahlin Pl
ACTO001,FR,589,Alinga St
ACTO001,FR,440,Gungahlin Pl
ACTO001,FR,593,Alinga St
ACTO001,FR,444,Gungahlin Pl
ACTO001,FR,597,Alinga St
ACTO001,FR,448,Gungahlin Pl
ACTO001,FR,601,Alinga St
ACTO001,FR,452,Gungahlin Pl
ACTO001,FR,605,Alinga St
ACTO001,FR,456,Gungahlin Pl
ACTO001,FR,609,Alinga St
ACTO001,FR,460,Gungahlin Pl
ACTO001,FR,309,Gungahlin Pl
ACTO001,FR,468,Alinga St
ACTO001,FR,325,Gungahlin Pl
ACTO001,FR,478,Alinga St
ACTO001,FR,339,Gungahlin Pl
ACTO001,FR,490,Alinga St
ACTO001,FR,470,Alinga St
ACTO001,FR,331,Gungahlin Pl
ACTO001,FR,482,Alinga St
ACTO001,FR,343,Gungahlin Pl
ACTO001,FR,494,Alinga St
ACTO001,FR,471,Alinga St
ACTO001,FR,332,Gungahlin Pl
ACTO001,FR,483,Alinga St
ACTO001,FR,344,Gungahlin Pl
