stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
300012,300012,Broadbeach North station,, -28.028008, 153.429902,1,https://translink.com.au/stop/300012/gtfs/,0,place_brnstn,
300518,300518,Scarborough St at White Street,, -27.971574, 153.415397,1,https://translink.com.au/stop/300518/gtfs/,0,place_sosstn,
318943,318943,"Griffith University, platform 4",, -27.963317, 153.385261,1,https://translink.com.au/stop/318943/gtfs/,0,place_gristn,4
318944,318944,"Griffith University, platform 3",, -27.963181, 153.384766,1,https://translink.com.au/stop/318944/gtfs/,0,place_gristn,3
318945,318945,"GCUH, platform 4",, -27.960664, 153.381114,1,https://translink.com.au/stop/318945/gtfs/,0,place_gcustn,4
318946,318946,"GCUH, platform 3",, -27.960759, 153.380716,1,https://translink.com.au/stop/318946/gtfs/,0,place_gcustn,3
320860,320860,"Broadbeach South station, stop A",, -28.035612, 153.431005,1,https://translink.com.au/stop/320860/gtfs/,0,place_brsstn,A
320861,320861,"Broadbeach South station, stop B",, -28.035259, 153.430922,1,https://translink.com.au/stop/320861/gtfs/,0,place_brsstn,B
320862,320862,"Broadbeach South station, stop C",, -28.035262, 153.431149,1,https://translink.com.au/stop/320862/gtfs/,0,place_brsstn,C
320863,320863,"Broadbeach South station, stop D",, -28.035614, 153.431239,1,https://translink.com.au/stop/320863/gtfs/,0,place_brsstn,D
320864,320864,Broadbeach South station,, -28.035625, 153.431241,1,https://translink.com.au/stop/320864/gtfs/,0,place_brsstn,
320865,320865,Broadbeach South station,, -28.035247, 153.430917,1,https://translink.com.au/stop/320865/gtfs/,0,place_brsstn,
320907,320907,Helensvale stop A,, -27.926092, 153.338562,1,https://translink.com.au/stop/320907/gtfs/,0,place_helsta,A
320908,320908,Helensvale stop B,, -27.925889, 153.338593,1,https://translink.com.au/stop/320908/gtfs/,0,place_helsta,B
320910,320910,Helensvale stop C,, -27.925700, 153.338623,1,https://translink.com.au/stop/320910/gtfs/,0,place_helsta,C
320911,320911,Helensvale stop D,, -27.925415, 153.338543,1,https://translink.com.au/stop/320911/gtfs/,0,place_helsta,D
320912,320912,Helensvale stop E,, -27.925373, 153.338326,1,https://translink.com.au/stop/320912/gtfs/,0,place_helsta,E
320913,320913,Helensvale stop F,, -27.925332, 153.338113,1,https://translink.com.au/stop/320913/gtfs/,0,place_helsta,F
320914,320914,Helensvale station,, -27.925298, 153.337951,1,https://translink.com.au/stop/320914/gtfs/,0,place_helsta,
320927,320927,"Southport bus station, stop A",, -27.967180, 153.414195,1,https://translink.com.au/stop/320927/gtfs/,0,place_soustn,A
320928,320928,"Southport bus station, stop B",, -27.966766, 153.413656,1,https://translink.com.au/stop/320928/gtfs/,0,place_soustn,B
321298,321298,Christine Avenue station,, -28.076479, 153.445129,1,https://translink.com.au/stop/321298/gtfs/,0,place_chrstn,
321299,321299,"Burleigh Heads station, stop A",, -28.089975, 153.452769,1,https://translink.com.au/stop/321299/gtfs/,0,place_bhdstn,
321300,321300,"Burleigh Heads station, stop B",, -28.089893, 153.453029,1,https://translink.com.au/stop/321300/gtfs/,0,place_bhdstn,
600119,600119,"Helensvale station, platform 1",, -27.925500, 153.339068,1,https://translink.com.au/stop/600119/gtfs/,0,place_helsta,1
600245,600245,"Helensvale station, platform 2",, -27.925491, 153.338919,1,https://translink.com.au/stop/600245/gtfs/,0,place_helsta,2
600800,600800,"Broadbeach South station, platform 2",, -28.035946, 153.431179,1,https://translink.com.au/stop/600800/gtfs/,0,place_brsstn,2
600801,600801,"Broadbeach South station, platform 1",, -28.035761, 153.431141,1,https://translink.com.au/stop/600801/gtfs/,0,place_brsstn,1
600802,600802,"Broadbeach North station, platform 2",, -28.029037, 153.429905,1,https://translink.com.au/stop/600802/gtfs/,0,place_brnstn,2
600803,600803,"Broadbeach North station, platform 1",, -28.028591, 153.429799,1,https://translink.com.au/stop/600803/gtfs/,0,place_brnstn,1
600804,600804,"Florida Gardens station, platform 2",, -28.017389, 153.429279,1,https://translink.com.au/stop/600804/gtfs/,0,place_flostn,2
600805,600805,"Florida Gardens station, platform 1",, -28.017189, 153.429258,1,https://translink.com.au/stop/600805/gtfs/,0,place_flostn,1
600806,600806,"Northcliffe station, platform 2",, -28.010155, 153.429499,1,https://translink.com.au/stop/600806/gtfs/,0,place_norstn,2
600807,600807,"Northcliffe station, platform 1",, -28.009763, 153.429459,1,https://translink.com.au/stop/600807/gtfs/,0,place_norstn,1
600808,600808,"Surfers Paradise station, platform 2",, -28.006386, 153.429142,1,https://translink.com.au/stop/600808/gtfs/,0,place_surstn,2
600809,600809,"Surfers Paradise station, platform 1",, -28.005939, 153.429010,1,https://translink.com.au/stop/600809/gtfs/,0,place_surstn,1
600810,600810,"Cavill Avenue station, platform 2",, -28.001711, 153.428413,1,https://translink.com.au/stop/600810/gtfs/,0,place_cavsta,2
600811,600811,"Cavill Avenue station, platform 1",, -28.001641, 153.428396,1,https://translink.com.au/stop/600811/gtfs/,0,place_cavsta,1
600812,600812,"Cypress Avenue station, platform 2",, -27.996725, 153.429083,1,https://translink.com.au/stop/600812/gtfs/,0,place_cypsta,2
600813,600813,"Cypress Avenue station, platform 1",, -27.996460, 153.429180,1,https://translink.com.au/stop/600813/gtfs/,0,place_cypsta,1
600814,600814,"Surfers Paradise North station, platform 2",, -27.992729, 153.429249,1,https://translink.com.au/stop/600814/gtfs/,0,place_spnstn,2
600815,600815,"Surfers Paradise North station, platform 1",, -27.992443, 153.429232,1,https://translink.com.au/stop/600815/gtfs/,0,place_spnstn,1
600816,600816,"Main Beach station, platform 2",, -27.982184, 153.423580,1,https://translink.com.au/stop/600816/gtfs/,0,place_maistn,2
600817,600817,"Main Beach station, platform 1",, -27.981919, 153.423364,1,https://translink.com.au/stop/600817/gtfs/,0,place_maistn,1
600818,600818,"Broadwater Parklands station, platform 2",, -27.973535, 153.418983,1,https://translink.com.au/stop/600818/gtfs/,0,place_brostn,2
600819,600819,"Broadwater Parklands station, platform 1",, -27.973478, 153.418588,1,https://translink.com.au/stop/600819/gtfs/,0,place_brostn,1
600820,600820,"Southport South station, platform 2",, -27.972360, 153.415493,1,https://translink.com.au/stop/600820/gtfs/,0,place_sosstn,2
600821,600821,"Southport South station, platform 1",, -27.972720, 153.415586,1,https://translink.com.au/stop/600821/gtfs/,0,place_sosstn,1
600822,600822,"Southport station, platform 2",, -27.967674, 153.413853,1,https://translink.com.au/stop/600822/gtfs/,0,place_soustn,2
600823,600823,"Southport station, platform 1",, -27.967861, 153.413509,1,https://translink.com.au/stop/600823/gtfs/,0,place_soustn,1
600824,600824,"Nerang Street station, platform 2",, -27.970575, 153.408668,1,https://translink.com.au/stop/600824/gtfs/,0,place_nerstn,2
600825,600825,"Nerang Street station, platform 1",, -27.970751, 153.408354,1,https://translink.com.au/stop/600825/gtfs/,0,place_nerstn,1
600826,600826,"Queen Street station, platform 2 (Southport)",, -27.970206, 153.394609,1,https://translink.com.au/stop/600826/gtfs/,0,place_qssstn,2
600827,600827,"Queen Street station, platform 1 (Southport)",, -27.970174, 153.394395,1,https://translink.com.au/stop/600827/gtfs/,0,place_qssstn,1
600828,600828,"Griffith University station, platform 2",, -27.963455, 153.384870,1,https://translink.com.au/stop/600828/gtfs/,0,place_gristn,2
600829,600829,"Griffith University station, platform 1",, -27.963226, 153.384540,1,https://translink.com.au/stop/600829/gtfs/,0,place_gristn,1
600830,600830,"Gold Coast University Hospital station, platform 2",, -27.960718, 153.380510,1,https://translink.com.au/stop/600830/gtfs/,0,place_gcustn,2
600831,600831,"Gold Coast University Hospital station, platform 1",, -27.960730, 153.380536,1,https://translink.com.au/stop/600831/gtfs/,0,place_gcustn,1
600832,600832,"Parkwood East station, platform 2",, -27.963047, 153.364745,1,https://translink.com.au/stop/600832/gtfs/,0,place_paestn,2
600833,600833,"Parkwood East station, platform 1",, -27.962977, 153.364264,1,https://translink.com.au/stop/600833/gtfs/,0,place_paestn,1
600834,600834,"Parkwood station, platform 2",, -27.951802, 153.347046,1,https://translink.com.au/stop/600834/gtfs/,0,place_parstn,2
600835,600835,"Parkwood station, platform 1",, -27.951525, 153.346913,1,https://translink.com.au/stop/600835/gtfs/,0,place_parstn,1
600836,600836,"Helensvale station, platform 5",, -27.925545, 153.339341,1,https://translink.com.au/stop/600836/gtfs/,0,place_helsta,5
600837,600837,"Helensvale station, platform 4",, -27.925610, 153.339331,1,https://translink.com.au/stop/600837/gtfs/,0,place_helsta,4
600850,600850,GCS relief point,, -27.968402, 153.391499,1,,0,,
600851,600851,GCN relief point,, -27.968394, 153.391457,1,,0,,
600852,600852,Southport turnback,, -27.967940, 153.413369,1,,0,,
600853,600853,Surfers Paradise North turnback,, -27.993832, 153.429382,1,,0,,
600854,600854,Cavill Avenue turnback,, -28.003375, 153.428678,1,,0,,
600855,600855,Parkwood station turnback,, -27.955849, 153.349813,1,,0,,
600856,600856,GCUH South turnback,, -27.961226, 153.381688,1,,0,,
600863,600863,"Mermaid Beach station, platform 1",, -28.041911, 153.434175,1,https://translink.com.au/stop/600863/gtfs/,0,place_mebstn,1
600864,600864,"Mermaid Beach station, platform 2",, -28.041883, 153.434168,1,https://translink.com.au/stop/600864/gtfs/,0,place_mebstn,2
600865,600865,"Mermaid Beach South station, platform 1",, -28.050563, 153.436296,1,https://translink.com.au/stop/600865/gtfs/,0,place_mbsstn,1
600866,600866,"Mermaid Beach South station, platform 2",, -28.050504, 153.436281,1,https://translink.com.au/stop/600866/gtfs/,0,place_mbsstn,2
600867,600867,"Nobby Beach station, platform 1",, -28.059381, 153.437884,1,https://translink.com.au/stop/600867/gtfs/,0,place_nobstn,1
600868,600868,"Nobby Beach station, platform 2",, -28.059349, 153.437898,1,https://translink.com.au/stop/600868/gtfs/,0,place_nobstn,2
600869,600869,"Miami North station, platform 1",, -28.065025, 153.438699,1,https://translink.com.au/stop/600869/gtfs/,0,place_minstn,1
600870,600870,"Miami North station, platform 2",, -28.064993, 153.438673,1,https://translink.com.au/stop/600870/gtfs/,0,place_minstn,2
600871,600871,"Miami station, platform 1",, -28.068929, 153.441914,1,https://translink.com.au/stop/600871/gtfs/,0,place_miastn,1
600872,600872,"Miami station, platform 2",, -28.068886, 153.441879,1,https://translink.com.au/stop/600872/gtfs/,0,place_miastn,2
600873,600873,"Christine Avenue station, platform 1",, -28.075650, 153.445157,1,https://translink.com.au/stop/600873/gtfs/,0,place_chrstn,1
600874,600874,"Christine Avenue station, platform 2",, -28.075616, 153.445145,1,https://translink.com.au/stop/600874/gtfs/,0,place_chrstn,2
600875,600875,"Second Avenue station, platform 1",, -28.084107, 153.448329,1,https://translink.com.au/stop/600875/gtfs/,0,place_seastn,1
600876,600876,"Second Avenue station, platform 2",, -28.084054, 153.448309,1,https://translink.com.au/stop/600876/gtfs/,0,place_seastn,2
600877,600877,"Burleigh Heads station, platform 1",, -28.089701, 153.452932,1,https://translink.com.au/stop/600877/gtfs/,0,place_bhdstn,1
600878,600878,"Burleigh Heads station, platform 2",, -28.089664, 153.452935,1,https://translink.com.au/stop/600878/gtfs/,0,place_bhdstn,2
600879,600879,Broadbeach South turnback,, -28.035627, 153.431113,1,,0,,
600880,600880,Broadbeach South turnback,, -28.036426, 153.431447,1,,0,,
600882,600882,Miami North station turnback,, -28.065071, 153.438736,1,,0,,
place_helsta,,Helensvale station,, -27.925333, 153.338816,,,1,,
place_brnstn,,Broadbeach North station,, -28.028773, 153.429854,,,1,,
place_brsstn,,Broadbeach South station,, -28.035965, 153.431102,,,1,,
place_brostn,,Broadwater Parklands station,, -27.973596, 153.418873,,,1,,
place_bhdstn,,Burleigh Heads station,, -28.089692, 153.453026,,,1,,
place_cavsta,,Cavill Avenue station,, -28.001701, 153.428466,,,1,,
place_chrstn,,Christine Avenue station,, -28.075648, 153.445198,,,1,,
place_cypsta,,Cypress Avenue station,, -27.996610, 153.429285,,,1,,
place_flostn,,Florida Gardens station,, -28.017291, 153.429468,,,1,,
place_gcustn,,Gold Coast University Hospital station,, -27.960496, 153.380688,,,1,,
place_gristn,,Griffith University station (Southport),, -27.963258, 153.384767,,,1,,
place_maistn,,Main Beach station,, -27.981990, 153.423488,,,1,,
