route_id,service_id,trip_id,trip_headsign
L1-5029,GCLR 26_27-43820,38494914-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494916-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494917-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494919-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494920-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494922-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494923-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494925-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494926-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494928-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494929-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494931-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494932-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494934-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494935-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494937-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494938-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494940-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494945-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494947-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494948-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494950-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494951-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494953-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494954-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494956-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494957-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494959-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494960-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494962-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494966-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494968-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494969-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494971-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494972-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494974-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494975-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494977-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494978-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494980-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494981-GCLR 26_27-43820,Burleigh Heads
L1-5029,GCLR 26_27-43820,38494983-GCLR 26_27-43820,Helensvale
L1-5029,GCLR 26_27-43820,38494984-GCLR 26_27-43820,Burleigh Heads
