service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
QR 26_27-43852,1,1,1,1,0,0,0,20260909,20261028
QR 26_27-43781,0,0,0,0,0,1,0,20260829,20260829
QR 26_27-43853,1,1,1,1,0,0,0,20260915,20260916
QR 26_27-43854,0,0,0,0,1,0,0,20260904,20261023
QR 26_27-43501,1,1,1,1,0,0,0,20260910,20260917
QR 26_27-43503,0,0,0,0,0,1,0,20260919,20261024
QR 26_27-43506,0,0,0,0,0,0,1,20260920,20261025
QR 26_27-43782,0,0,0,0,0,0,1,20260830,20260830
QR 26_27-44038,1,1,1,1,0,0,0,20260831,20260831
QR 26_27-44039,1,1,1,1,0,0,0,20260901,20260901
