service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20260903,20261211
2,0,0,0,0,0,0,0,20260905,20261212
7,0,0,0,0,0,0,0,20260903,20261016
10,0,0,0,0,0,0,0,20261024,20261212
17,0,0,0,0,0,0,0,20260903,20260903
20,0,0,0,0,0,0,0,20260905,20261212
24,0,0,0,0,0,0,0,20260903,20261212
25,0,0,0,0,0,0,0,20260903,20261211
26,0,0,0,0,0,0,0,20260904,20261212
27,0,0,0,0,0,0,0,20260903,20261017
28,0,0,0,0,0,0,0,20261018,20261212
30,0,0,0,0,0,0,0,20261003,20261212
32,0,0,0,0,0,0,0,20260903,20261001
37,0,0,0,0,0,0,0,20261002,20261212
39,0,0,0,0,0,0,0,20260903,20261001
42,0,0,0,0,0,0,0,20260903,20261210
43,0,0,0,0,0,0,0,20260903,20261212
44,0,0,0,0,0,0,0,20260903,20260930
45,0,0,0,0,0,0,0,20260903,20261210
48,0,0,0,0,0,0,0,20260905,20261212
51,0,0,0,0,0,0,0,20260903,20261211
52,0,0,0,0,0,0,0,20260903,20261211
55,0,0,0,0,0,0,0,20260903,20260911
73,0,0,0,0,0,0,0,20260903,20261212
75,0,0,0,0,0,0,0,20260903,20261212
76,0,0,0,0,0,0,0,20260903,20261211
77,0,0,0,0,0,0,0,20260903,20261212
78,0,0,0,0,0,0,0,20260903,20261212
81,0,0,0,0,0,0,0,20260903,20261212
82,0,0,0,0,0,0,0,20260903,20261212
83,0,0,0,0,0,0,0,20260903,20261212
85,0,0,0,0,0,0,0,20260903,20261212
88,0,0,0,0,0,0,0,20260903,20261212
89,0,0,0,0,0,0,0,20261011,20261212
144,0,0,0,0,0,0,0,20260903,20261211
145,0,0,0,0,0,0,0,20260903,20261212
146,0,0,0,0,0,0,0,20260903,20261212
147,0,0,0,0,0,0,0,20260903,20261212
148,0,0,0,0,0,0,0,20260903,20261212
149,0,0,0,0,0,0,0,20260903,20261212
152,0,0,0,0,0,0,0,20260903,20261212
156,0,0,0,0,0,0,0,20260903,20261212
157,0,0,0,0,0,0,0,20260903,20261212
162,0,0,0,0,0,0,0,20260903,20261212
163,0,0,0,0,0,0,0,20260903,20261212
164,0,0,0,0,0,0,0,20260903,20261212
165,0,0,0,0,0,0,0,20260903,20261212
166,0,0,0,0,0,0,0,20260903,20261212
189,0,0,0,0,0,0,0,20260903,20261211
193,0,0,0,0,0,0,0,20261003,20261212
195,0,0,0,0,0,0,0,20260903,20261212
196,0,0,0,0,0,0,0,20260903,20261211
197,0,0,0,0,0,0,0,20260903,20261212
198,0,0,0,0,0,0,0,20260903,20261212
199,0,0,0,0,0,0,0,20260903,20261211
202,0,0,0,0,0,0,0,20260903,20261212
