service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
70187.070926.65,1,0,0,0,0,0,1,20260907,20261005
70199.070926.65,1,0,0,0,0,0,1,20260907,20261005
70211.070926.65,1,0,0,0,0,0,1,20260907,20261005
70212.070926.31,1,1,1,1,1,0,0,20260907,20261002
70212.061026.31,1,1,1,1,1,0,0,20261006,20261217
70224.070926.31,1,1,1,1,1,0,0,20260907,20261002
70224.061026.31,1,1,1,1,1,0,0,20261006,20261217
70236.070926.31,1,1,1,1,1,0,0,20260907,20261002
70236.061026.31,1,1,1,1,1,0,0,20261006,20261217
70248.070926.31,1,1,1,1,1,0,0,20260907,20261002
70248.061026.31,1,1,1,1,1,0,0,20261006,20261217
70260.070926.31,1,1,1,1,1,0,0,20260907,20261002
70260.061026.31,1,1,1,1,1,0,0,20261006,20261217
70272.070926.31,1,1,1,1,1,0,0,20260907,20261002
70272.061026.31,1,1,1,1,1,0,0,20261006,20261217
70284.070926.31,1,1,1,1,1,0,0,20260907,20261002
70284.061026.31,1,1,1,1,1,0,0,20261006,20261217
70296.070926.31,1,1,1,1,1,0,0,20260907,20261002
70296.061026.31,1,1,1,1,1,0,0,20261006,20261217
70308.070926.31,1,1,1,1,1,0,0,20260907,20261002
70308.061026.31,1,1,1,1,1,0,0,20261006,20261217
70320.070926.31,1,1,1,1,1,0,0,20260907,20261002
70320.061026.31,1,1,1,1,1,0,0,20261006,20261217
70332.070926.31,1,1,1,1,1,0,0,20260907,20261002
70332.061026.31,1,1,1,1,1,0,0,20261006,20261217
70344.070926.31,1,1,1,1,1,0,0,20260907,20261002
70344.061026.31,1,1,1,1,1,0,0,20261006,20261217
70356.070926.31,1,1,1,1,1,0,0,20260907,20261002
70356.061026.31,1,1,1,1,1,0,0,20261006,20261217
70368.070926.31,1,1,1,1,1,0,0,20260907,20261002
70368.061026.31,1,1,1,1,1,0,0,20261006,20261217
70380.070926.31,1,1,1,1,1,0,0,20260907,20261002
70380.061026.31,1,1,1,1,1,0,0,20261006,20261217
70392.070926.31,1,1,1,1,1,0,0,20260907,20261002
70392.061026.31,1,1,1,1,1,0,0,20261006,20261217
70404.070926.31,1,1,1,1,1,0,0,20260907,20261002
70404.061026.31,1,1,1,1,1,0,0,20261006,20261217
70416.070926.31,1,1,1,1,1,0,0,20260907,20261002
70416.061026.31,1,1,1,1,1,0,0,20261006,20261217
70428.070926.31,1,1,1,1,1,0,0,20260907,20261002
70428.061026.31,1,1,1,1,1,0,0,20261006,20261217
70440.070926.31,1,1,1,1,1,0,0,20260907,20261002
70440.061026.31,1,1,1,1,1,0,0,20261006,20261217
70452.070926.31,1,1,1,1,1,0,0,20260907,20261002
70452.061026.31,1,1,1,1,1,0,0,20261006,20261217
70464.070926.31,1,1,1,1,1,0,0,20260907,20261002
70464.061026.31,1,1,1,1,1,0,0,20261006,20261217
70476.070926.31,1,1,1,1,1,0,0,20260907,20261002
70476.061026.31,1,1,1,1,1,0,0,20261006,20261217
70488.070926.31,1,1,1,1,1,0,0,20260907,20261002
70488.061026.31,1,1,1,1,1,0,0,20261006,20261217
70500.070926.31,1,1,1,1,1,0,0,20260907,20261002
70500.061026.31,1,1,1,1,1,0,0,20261006,20261217
70512.070926.31,1,1,1,1,1,0,0,20260907,20261002
70512.061026.31,1,1,1,1,1,0,0,20261006,20261217
