trip_id,arrival_time,departure_time,stop_id,stop_sequence
T8-CC-AIRPORT,06:00:00,06:00:00,2560711,1
T8-CC-AIRPORT,06:06:00,06:06:00,2560691,2
T8-CC-SYDENHAM,06:30:00,06:30:00,2212161,1
T8-MACARTHUR,07:20:00,07:20:00,2212161,1
T8-MACARTHUR,07:58:00,07:58:00,2560691,2
T8-MACARTHUR,08:04:00,08:04:00,2560711,3
T2-CC-GRANVILLE,06:10:00,06:10:00,217934,1
T2-CC-GRANVILLE,06:28:00,06:28:00,2170821,2
T2-CC-TOWN-HALL,06:40:00,06:40:00,2170821,1
T3-CC-REGENTS-PARK,06:15:00,06:15:00,2170821,1
T6-LIDCOMBE,06:20:00,06:20:00,2200501,1
T7-LIDCOMBE,06:25:00,06:25:00,2127102,1
