service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20260903,20261211
2,0,0,0,0,0,0,0,20260905,20261212
4,0,0,0,0,0,0,0,20260903,20261210
13,0,0,0,0,0,0,0,20260905,20261212
14,0,0,0,0,0,0,0,20260903,20261212
15,0,0,0,0,0,0,0,20260903,20261211
24,0,0,0,0,0,0,0,20260903,20261211
29,0,0,0,0,0,0,0,20260903,20261211
35,0,0,0,0,0,0,0,20261212,20261212
36,0,0,0,0,0,0,0,20260903,20261105
38,0,0,0,0,0,0,0,20260905,20261212
42,0,0,0,0,0,0,0,20260903,20261105
45,0,0,0,0,0,0,0,20260903,20260903
65,0,0,0,0,0,0,0,20260903,20261211
66,0,0,0,0,0,0,0,20260903,20261211
67,0,0,0,0,0,0,0,20260905,20261212
68,0,0,0,0,0,0,0,20260905,20261212
73,0,0,0,0,0,0,0,20260905,20261212
74,0,0,0,0,0,0,0,20260903,20261211
75,0,0,0,0,0,0,0,20260903,20261211
77,0,0,0,0,0,0,0,20260905,20261212
79,0,0,0,0,0,0,0,20260903,20261211
84,0,0,0,0,0,0,0,20261107,20261212
98,0,0,0,0,0,0,0,20260903,20260904
105,0,0,0,0,0,0,0,20260905,20261212
106,0,0,0,0,0,0,0,20260903,20261212
107,0,0,0,0,0,0,0,20260903,20261212
108,0,0,0,0,0,0,0,20260903,20261211
110,0,0,0,0,0,0,0,20260903,20261211
111,0,0,0,0,0,0,0,20260903,20261212
112,0,0,0,0,0,0,0,20260903,20261211
113,0,0,0,0,0,0,0,20260905,20261212
122,0,0,0,0,0,0,0,20260903,20261211
124,0,0,0,0,0,0,0,20260903,20261211
125,0,0,0,0,0,0,0,20260903,20261211
126,0,0,0,0,0,0,0,20260903,20261211
128,0,0,0,0,0,0,0,20260903,20261211
130,0,0,0,0,0,0,0,20260912,20261212
131,0,0,0,0,0,0,0,20260903,20260911
133,0,0,0,0,0,0,0,20261003,20261212
137,0,0,0,0,0,0,0,20260903,20260925
143,0,0,0,0,0,0,0,20260903,20260924
144,0,0,0,0,0,0,0,20260903,20261210
147,0,0,0,0,0,0,0,20260903,20261211
151,0,0,0,0,0,0,0,20260903,20261211
152,0,0,0,0,0,0,0,20260903,20261211
155,0,0,0,0,0,0,0,20260903,20260924
157,0,0,0,0,0,0,0,20260903,20261211
165,0,0,0,0,0,0,0,20260903,20261210
168,0,0,0,0,0,0,0,20260903,20261210
171,0,0,0,0,0,0,0,20260903,20261211
172,0,0,0,0,0,0,0,20260903,20261210
174,0,0,0,0,0,0,0,20260903,20261211
175,0,0,0,0,0,0,0,20260903,20260925
178,0,0,0,0,0,0,0,20260903,20261211
179,0,0,0,0,0,0,0,20260903,20261211
183,0,0,0,0,0,0,0,20260903,20261210
187,0,0,0,0,0,0,0,20260903,20260924
191,0,0,0,0,0,0,0,20260903,20260924
192,0,0,0,0,0,0,0,20260903,20261210
194,0,0,0,0,0,0,0,20260903,20260924
197,0,0,0,0,0,0,0,20260903,20260924
199,0,0,0,0,0,0,0,20260903,20261210
200,0,0,0,0,0,0,0,20260903,20261211
204,0,0,0,0,0,0,0,20260903,20260924
208,0,0,0,0,0,0,0,20260903,20260924
209,0,0,0,0,0,0,0,20260903,20261211
212,0,0,0,0,0,0,0,20260903,20261210
213,0,0,0,0,0,0,0,20260903,20261211
216,0,0,0,0,0,0,0,20260903,20260924
218,0,0,0,0,0,0,0,20260903,20261210
219,0,0,0,0,0,0,0,20260903,20260924
221,0,0,0,0,0,0,0,20260903,20260924
222,0,0,0,0,0,0,0,20260903,20261211
223,0,0,0,0,0,0,0,20260903,20261211
225,0,0,0,0,0,0,0,20260903,20261211
227,0,0,0,0,0,0,0,20260903,20261105
229,0,0,0,0,0,0,0,20260903,20261105
235,0,0,0,0,0,0,0,20260903,20261212
236,0,0,0,0,0,0,0,20260905,20261212
237,0,0,0,0,0,0,0,20260906,20261212
238,0,0,0,0,0,0,0,20260903,20261105
239,0,0,0,0,0,0,0,20260905,20261212
240,0,0,0,0,0,0,0,20260905,20261212
241,0,0,0,0,0,0,0,20260912,20261212
242,0,0,0,0,0,0,0,20260903,20261211
244,0,0,0,0,0,0,0,20260903,20260924
246,0,0,0,0,0,0,0,20261107,20261212
251,0,0,0,0,0,0,0,20260903,20261105
253,0,0,0,0,0,0,0,20260905,20261212
257,0,0,0,0,0,0,0,20260903,20261105
259,0,0,0,0,0,0,0,20260903,20261211
260,0,0,0,0,0,0,0,20260903,20261212
261,0,0,0,0,0,0,0,20260903,20261211
262,0,0,0,0,0,0,0,20261106,20261212
264,0,0,0,0,0,0,0,20260903,20261212
270,0,0,0,0,0,0,0,20260903,20261212
271,0,0,0,0,0,0,0,20260903,20261211
274,0,0,0,0,0,0,0,20260903,20261210
275,0,0,0,0,0,0,0,20260903,20261211
277,0,0,0,0,0,0,0,20260903,20261212
278,0,0,0,0,0,0,0,20260905,20261212
279,0,0,0,0,0,0,0,20260903,20261212
280,0,0,0,0,0,0,0,20260903,20261210
3,0,0,0,0,0,0,0,20260906,20261206
5,0,0,0,0,0,0,0,20260906,20261206
6,0,0,0,0,0,0,0,20260904,20261211
7,0,0,0,0,0,0,0,20261031,20261031
8,0,0,0,0,0,0,0,20260922,20260925
9,0,0,0,0,0,0,0,20260921,20260921
10,0,0,0,0,0,0,0,20260905,20260905
11,0,0,0,0,0,0,0,20260906,20260906
