trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
nlr-beach-0,00:10:00,00:10:00,229315,1,0
nlr-beach-0,00:18:00,00:18:00,2300129,6,0
nlr-int-0,00:20:00,00:20:00,2300129,1,0
nlr-int-0,00:28:00,00:28:00,229315,6,0
nlr-beach-1,01:10:00,01:10:00,229315,1,0
nlr-beach-1,01:18:00,01:18:00,2300129,6,0
nlr-int-1,01:20:00,01:20:00,2300129,1,0
nlr-int-1,01:28:00,01:28:00,229315,6,0
nlr-beach-2,02:10:00,02:10:00,229315,1,0
nlr-beach-2,02:18:00,02:18:00,2300129,6,0
nlr-int-2,02:20:00,02:20:00,2300129,1,0
nlr-int-2,02:28:00,02:28:00,229315,6,0
nlr-beach-3,03:10:00,03:10:00,229315,1,0
nlr-beach-3,03:18:00,03:18:00,2300129,6,0
nlr-int-3,03:20:00,03:20:00,2300129,1,0
nlr-int-3,03:28:00,03:28:00,229315,6,0
nlr-beach-4,04:10:00,04:10:00,229315,1,0
nlr-beach-4,04:18:00,04:18:00,2300129,6,0
nlr-int-4,04:20:00,04:20:00,2300129,1,0
nlr-int-4,04:28:00,04:28:00,229315,6,0
nlr-beach-5,05:10:00,05:10:00,229315,1,0
nlr-beach-5,05:18:00,05:18:00,2300129,6,0
nlr-int-5,05:20:00,05:20:00,2300129,1,0
nlr-int-5,05:28:00,05:28:00,229315,6,0
nlr-beach-6,06:10:00,06:10:00,229315,1,0
nlr-beach-6,06:18:00,06:18:00,2300129,6,0
nlr-int-6,06:20:00,06:20:00,2300129,1,0
nlr-int-6,06:28:00,06:28:00,229315,6,0
nlr-beach-7,07:10:00,07:10:00,229315,1,0
nlr-beach-7,07:18:00,07:18:00,2300129,6,0
nlr-int-7,07:20:00,07:20:00,2300129,1,0
nlr-int-7,07:28:00,07:28:00,229315,6,0
nlr-beach-8,08:10:00,08:10:00,229315,1,0
nlr-beach-8,08:18:00,08:18:00,2300129,6,0
nlr-int-8,08:20:00,08:20:00,2300129,1,0
nlr-int-8,08:28:00,08:28:00,229315,6,0
nlr-beach-9,09:10:00,09:10:00,229315,1,0
nlr-beach-9,09:18:00,09:18:00,2300129,6,0
nlr-int-9,09:20:00,09:20:00,2300129,1,0
nlr-int-9,09:28:00,09:28:00,229315,6,0
nlr-beach-10,10:10:00,10:10:00,229315,1,0
nlr-beach-10,10:18:00,10:18:00,2300129,6,0
nlr-int-10,10:20:00,10:20:00,2300129,1,0
nlr-int-10,10:28:00,10:28:00,229315,6,0
nlr-beach-11,11:10:00,11:10:00,229315,1,0
nlr-beach-11,11:18:00,11:18:00,2300129,6,0
nlr-int-11,11:20:00,11:20:00,2300129,1,0
nlr-int-11,11:28:00,11:28:00,229315,6,0
nlr-beach-12,12:10:00,12:10:00,229315,1,0
nlr-beach-12,12:18:00,12:18:00,2300129,6,0
nlr-int-12,12:20:00,12:20:00,2300129,1,0
nlr-int-12,12:28:00,12:28:00,229315,6,0
nlr-beach-13,13:10:00,13:10:00,229315,1,0
nlr-beach-13,13:18:00,13:18:00,2300129,6,0
nlr-int-13,13:20:00,13:20:00,2300129,1,0
nlr-int-13,13:28:00,13:28:00,229315,6,0
nlr-beach-14,14:10:00,14:10:00,229315,1,0
nlr-beach-14,14:18:00,14:18:00,2300129,6,0
nlr-int-14,14:20:00,14:20:00,2300129,1,0
nlr-int-14,14:28:00,14:28:00,229315,6,0
nlr-beach-15,15:10:00,15:10:00,229315,1,0
nlr-beach-15,15:18:00,15:18:00,2300129,6,0
nlr-int-15,15:20:00,15:20:00,2300129,1,0
nlr-int-15,15:28:00,15:28:00,229315,6,0
nlr-beach-16,16:10:00,16:10:00,229315,1,0
nlr-beach-16,16:18:00,16:18:00,2300129,6,0
nlr-int-16,16:20:00,16:20:00,2300129,1,0
nlr-int-16,16:28:00,16:28:00,229315,6,0
nlr-beach-17,17:10:00,17:10:00,229315,1,0
nlr-beach-17,17:18:00,17:18:00,2300129,6,0
nlr-int-17,17:20:00,17:20:00,2300129,1,0
nlr-int-17,17:28:00,17:28:00,229315,6,0
nlr-beach-18,18:10:00,18:10:00,229315,1,0
nlr-beach-18,18:18:00,18:18:00,2300129,6,0
nlr-int-18,18:20:00,18:20:00,2300129,1,0
nlr-int-18,18:28:00,18:28:00,229315,6,0
nlr-beach-19,19:10:00,19:10:00,229315,1,0
nlr-beach-19,19:18:00,19:18:00,2300129,6,0
nlr-int-19,19:20:00,19:20:00,2300129,1,0
nlr-int-19,19:28:00,19:28:00,229315,6,0
nlr-beach-20,20:10:00,20:10:00,229315,1,0
nlr-beach-20,20:18:00,20:18:00,2300129,6,0
nlr-int-20,20:20:00,20:20:00,2300129,1,0
nlr-int-20,20:28:00,20:28:00,229315,6,0
nlr-beach-21,21:10:00,21:10:00,229315,1,0
nlr-beach-21,21:18:00,21:18:00,2300129,6,0
nlr-int-21,21:20:00,21:20:00,2300129,1,0
nlr-int-21,21:28:00,21:28:00,229315,6,0
nlr-beach-22,22:10:00,22:10:00,229315,1,0
nlr-beach-22,22:18:00,22:18:00,2300129,6,0
nlr-int-22,22:20:00,22:20:00,2300129,1,0
nlr-int-22,22:28:00,22:28:00,229315,6,0
nlr-beach-23,23:10:00,23:10:00,229315,1,0
nlr-beach-23,23:18:00,23:18:00,2300129,6,0
nlr-int-23,23:20:00,23:20:00,2300129,1,0
nlr-int-23,23:28:00,23:28:00,229315,6,0
