route_id,service_id,trip_id,trip_headsign
NLR,DAILY,nlr-beach-0,Newcastle Beach
NLR,DAILY,nlr-int-0,Newcastle Interchange
NLR,DAILY,nlr-beach-1,Newcastle Beach
NLR,DAILY,nlr-int-1,Newcastle Interchange
NLR,DAILY,nlr-beach-2,Newcastle Beach
NLR,DAILY,nlr-int-2,Newcastle Interchange
NLR,DAILY,nlr-beach-3,Newcastle Beach
NLR,DAILY,nlr-int-3,Newcastle Interchange
NLR,DAILY,nlr-beach-4,Newcastle Beach
NLR,DAILY,nlr-int-4,Newcastle Interchange
NLR,DAILY,nlr-beach-5,Newcastle Beach
NLR,DAILY,nlr-int-5,Newcastle Interchange
NLR,DAILY,nlr-beach-6,Newcastle Beach
NLR,DAILY,nlr-int-6,Newcastle Interchange
NLR,DAILY,nlr-beach-7,Newcastle Beach
NLR,DAILY,nlr-int-7,Newcastle Interchange
NLR,DAILY,nlr-beach-8,Newcastle Beach
NLR,DAILY,nlr-int-8,Newcastle Interchange
NLR,DAILY,nlr-beach-9,Newcastle Beach
NLR,DAILY,nlr-int-9,Newcastle Interchange
NLR,DAILY,nlr-beach-10,Newcastle Beach
NLR,DAILY,nlr-int-10,Newcastle Interchange
NLR,DAILY,nlr-beach-11,Newcastle Beach
NLR,DAILY,nlr-int-11,Newcastle Interchange
NLR,DAILY,nlr-beach-12,Newcastle Beach
NLR,DAILY,nlr-int-12,Newcastle Interchange
NLR,DAILY,nlr-beach-13,Newcastle Beach
NLR,DAILY,nlr-int-13,Newcastle Interchange
NLR,DAILY,nlr-beach-14,Newcastle Beach
NLR,DAILY,nlr-int-14,Newcastle Interchange
NLR,DAILY,nlr-beach-15,Newcastle Beach
NLR,DAILY,nlr-int-15,Newcastle Interchange
NLR,DAILY,nlr-beach-16,Newcastle Beach
NLR,DAILY,nlr-int-16,Newcastle Interchange
NLR,DAILY,nlr-beach-17,Newcastle Beach
NLR,DAILY,nlr-int-17,Newcastle Interchange
NLR,DAILY,nlr-beach-18,Newcastle Beach
NLR,DAILY,nlr-int-18,Newcastle Interchange
NLR,DAILY,nlr-beach-19,Newcastle Beach
NLR,DAILY,nlr-int-19,Newcastle Interchange
NLR,DAILY,nlr-beach-20,Newcastle Beach
NLR,DAILY,nlr-int-20,Newcastle Interchange
NLR,DAILY,nlr-beach-21,Newcastle Beach
NLR,DAILY,nlr-int-21,Newcastle Interchange
NLR,DAILY,nlr-beach-22,Newcastle Beach
NLR,DAILY,nlr-int-22,Newcastle Interchange
NLR,DAILY,nlr-beach-23,Newcastle Beach
NLR,DAILY,nlr-int-23,Newcastle Interchange
