stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
3989204,,"Rotterdam, Kralingse Zoom",51.921644,4.533398,0,stoparea:617466,,1,1,
stoparea:617466,Klz,Kralingse Zoom,51.921368,4.53414,1,,,0,,
3989206,,"Rotterdam, Voorschoterlaan",51.925141,4.512614,0,stoparea:617507,,1,1,
stoparea:617507,Vsl,Voorschoterlaan,51.925141,4.512614,1,,,0,,
3989208,,"Rotterdam, Gerdesiaweg",51.925972,4.505867,0,stoparea:617458,,1,1,
stoparea:617458,Gdw,Gerdesiaweg,51.925972,4.505867,1,,,0,,
3989210,,"Rotterdam, Oostplein",51.923267,4.496455,0,stoparea:617479,,1,1,
stoparea:617479,Opl,Oostplein,51.923267,4.496455,1,,,0,,
3989211,,"Rotterdam, Blaak",51.920034,4.489731,0,stoparea:617447,,1,,
stoparea:617447,Blk,Blaak,51.920034,4.489731,1,,,0,,
3989213,,"Rotterdam, Beurs",51.918393,4.480926,0,stoparea:617449,,1,,
stoparea:617449,Brs,Beurs,51.9183985,4.4810345,1,,,0,,
3989215,,"Rotterdam, Eendrachtsplein",51.915906,4.473141,0,stoparea:617456,,1,1,
stoparea:617456,Edp,Eendrachtsplein,51.915906,4.473141,1,,,0,,
3989217,,"Rotterdam, Dijkzigt",51.912171,4.466778,0,stoparea:617455,,1,1,
stoparea:617455,Dzt,Dijkzigt,51.912171,4.466778,1,,,0,,
3989219,,"Rotterdam, Coolhaven",51.909301,4.458509,0,stoparea:617452,,1,1,
stoparea:617452,Chv,Coolhaven,51.909301,4.458509,1,,,0,,
3989221,,"Rotterdam, Delfshaven",51.910072,4.445762,0,stoparea:617454,,1,1,
stoparea:617454,Dhv,Delfshaven,51.910072,4.445762,1,,,0,,
3989223,,"Rotterdam, Marconiplein",51.913576,4.432258,0,stoparea:617471,,1,1,
stoparea:617471,Mcp,Marconiplein,51.913576,4.432258,1,,,0,,
3989224,,"Schiedam, Schiedam Centrum",51.921595,4.409424,0,stoparea:617491,,1,,
stoparea:617491,Sdm,Schiedam Centrum,51.921535000000006,4.409376999999999,1,,,0,,
3989234,,"Schiedam, Schiedam Centrum",51.921469,4.409325,0,stoparea:617491,,1,,
3989222,,"Rotterdam, Marconiplein",51.913576,4.432258,0,stoparea:617471,,1,2,
