service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TA+0q400+7,1,1,1,0,0,0,0,20260823,20260921
TA+0v300#1+7,0,1,1,0,1,0,0,20260823,20260921
TA+1m200+7,0,0,0,1,0,0,0,20260824,20260921
TA+1m200#1+7,0,0,0,1,0,0,0,20260823,20260921
TA+1q400+7,1,0,1,1,1,0,0,20260823,20260921
TA+1s200+7,0,0,0,0,0,0,1,20260824,20260921
TA+1s200#1+7,0,0,0,0,0,0,1,20260823,20260921
TA+1u300+7,1,1,0,1,1,0,0,20260823,20260921
TA+1v300#1+7,1,1,1,0,1,0,0,20260823,20260921
TA+23300+7,1,1,0,1,1,0,0,20260823,20260921
TA+2u300#1+7,1,0,1,0,0,0,0,20260823,20260921
TA+32200#1+7,1,1,1,1,1,0,0,20260823,20260921
TA+33300+7,1,1,0,1,0,0,0,20260823,20260921
TA+4G#1+7,1,0,0,0,0,0,0,20260823,20260921
TA+4u300+7,0,1,0,1,1,0,0,20260823,20260921
TA+4W#1+7,0,0,1,1,1,0,0,20260823,20260921
TA+51b00+7,1,0,0,0,0,0,0,20260823,20260921
TA+5p400+7,1,1,0,0,1,0,0,20260823,20260921
TA+63200+7,1,1,0,0,0,0,0,20260823,20260921
TA+69100+7,0,0,0,0,0,1,1,20260823,20260921
TA+6p400+7,0,0,0,0,0,1,0,20260824,20260921
TA+6p400#1+7,0,0,0,0,0,1,0,20260823,20260921
TA+6s000+7,0,0,0,0,0,0,1,20260824,20260921
TA+6s000#1+7,0,0,0,0,0,0,1,20260823,20260921
TA+6Z#1+7,0,1,1,1,1,0,0,20260823,20260921
TA+72200+7,1,1,0,0,0,0,0,20260824,20260921
TA+72200#1+7,1,1,0,0,0,0,0,20260823,20260921
TA+73300#1+7,1,1,1,1,1,0,0,20260823,20260921
TA+7m200+7,0,0,0,0,1,0,0,20260824,20260921
TA+7m200#1+7,0,0,0,0,1,0,0,20260823,20260921
TA+7n200+7,0,0,1,0,0,0,0,20260824,20260921
TA+7n200#1+7,0,0,1,0,0,0,0,20260823,20260921
TA+7p400+7,1,0,0,0,1,0,0,20260823,20260921
TA+83300#1+7,0,1,1,1,0,0,0,20260823,20260921
TA+8p400#1+7,0,1,1,1,0,0,0,20260823,20260921
TA+9y100+7,0,0,1,0,0,0,0,20260824,20260921
TA+9y100#1+7,0,0,1,0,0,0,0,20260823,20260921
TA+aB#1+7,0,1,1,1,1,0,0,20260823,20260921
TA+aF#1+7,0,1,1,0,0,0,0,20260823,20260921
TA+aI#1+7,1,0,0,0,0,0,0,20260823,20260921
TA+au300#1+7,1,0,1,1,1,0,0,20260823,20260921
TA+b3300#1+7,0,1,0,0,0,0,0,20260823,20260921
TA+bp400+7,1,0,0,1,1,0,0,20260823,20260921
TA+bu300#1+7,0,1,0,0,0,0,0,20260823,20260921
TA+c2200+7,1,0,0,0,1,0,0,20260823,20260921
TA+c3300+7,0,0,0,1,0,0,0,20260824,20260921
TA+c3300#1+7,0,0,0,1,0,0,0,20260823,20260921
TA+ci000+7,1,1,1,1,0,0,0,20260823,20260921
TA+cp400+7,1,1,0,0,0,0,0,20260824,20260921
TA+eu300#1+7,0,1,1,1,0,0,0,20260823,20260921
TA+fn200+7,0,0,0,1,0,0,0,20260824,20260921
TA+fn200#1+7,0,0,0,1,0,0,0,20260823,20260921
TA+fu300+7,0,0,0,0,1,0,0,20260824,20260921
TA+fu300#1+7,0,0,0,0,1,0,0,20260823,20260921
TA+gu300+7,0,1,0,1,0,0,0,20260823,20260921
TA+hw400+7,1,1,1,1,1,0,0,20260824,20260921
TA+hw400#1+7,1,1,1,1,1,0,0,20260823,20260921
TA+hy200+7,0,0,0,0,0,0,1,20260824,20260921
TA+hy200#1+7,0,0,0,0,0,0,1,20260823,20260921
TA+i2200#1+7,1,1,1,1,0,0,0,20260823,20260921
TA+i3300#1+7,0,0,0,1,1,0,0,20260823,20260921
TA+i4200+7,1,1,0,0,1,0,0,20260823,20260921
TA+iw400#1+7,1,1,1,1,0,0,0,20260823,20260921
TA+j4200+7,1,1,1,0,0,0,0,20260823,20260921
TA+j4200#1+7,1,1,1,0,0,0,0,20260824,20260921
TA+jp400+7,1,1,0,0,0,0,0,20260824,20260921
TA+jp400#1+7,1,1,0,0,0,0,0,20260823,20260921
TA+jw400#1+7,1,0,0,0,0,0,0,20260823,20260921
