route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,exact_times
2-T1-N-sj2-1,x0001,T1,T1 North Shore and Western Line,Sydney Trains Network,2,F99D1C,FFFFFF,1
2-T1-W-sj2-1,x0001,T1,T1 North Shore and Western Line,Sydney Trains Network,2,F99D1C,FFFFFF,1
2-T2-sj2-1,x0001,T2,T2 Leppington and Inner West Line,Sydney Trains Network,2,0098CD,FFFFFF,1
2-T3-sj2-1,x0001,T3,T3 Liverpool and Inner West Line,Sydney Trains Network,2,F37021,FFFFFF,1
2-T4-sj2-1,x0001,T4,T4 Eastern Suburbs and Illawarra Line,Sydney Trains Network,2,005AA3,FFFFFF,1
2-T5-sj2-1,x0001,T5,T5 Cumberland Line,Sydney Trains Network,2,C4258F,FFFFFF,1
2-T6-sj2-1,x0001,T6,T6 Lidcombe and Bankstown Line,Sydney Trains Network,2,F6891F,FFFFFF,1
2-T7-sj2-1,x0001,T7,T7 Olympic Park Line,Sydney Trains Network,2,6F818E,FFFFFF,1
2-T8-sj2-1,x0001,T8,T8 Airport and South Line,Sydney Trains Network,2,00954C,FFFFFF,1
2-T9-sj2-1,x0001,T9,T9 Northern Line,Sydney Trains Network,2,D11F2F,FFFFFF,1
3-M1-sj2-1,SMNW,M1,M1 Metro North West and Bankstown Line,Sydney Metro Network,401,168388,FFFFFF,0
