stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
2000110,2000110,"Central Grand Concourse, Light Rail Trackwork",-33.88222655,151.20634156,,200060,1,Level 1,
2000112,2000112,"Central Station, Forecourt, Coach Bay 5",-33.88285863,151.20471982,,200060,2,Level 1,
2000115,2000115,"Central Station, Forecourt, Coach Bay 7",-33.88249198,151.20516632,,200060,2,Level 1,
2000124,2000124,"Central Station, Forecourt, Coach Bay 9",-33.88214369,151.20560291,,200060,2,Level 1,
2000132,2000132,"Central Station, Forecourt, Coach Bay 8",-33.88226615,151.20544689,,200060,2,Level 1,
2000190,2000190,"Central Station, Eddy Av",-33.88266011,151.20762679,,200060,2,Level 0,
2000213,2000213,"Central Station, Forecourt, Coach Bay 1",-33.88292461,151.20542524,,200060,2,Level 0,
2000240,2000240,"Central Station, Forecourt, Coach Bay 3",-33.88326612,151.20492349,,200060,2,Level 0,
2000241,2000241,"Central Station, Forecourt, Coach Bay 10",-33.88218055,151.20584238,,200060,2,Level 0,
2000257,2000257,Central Grand Concourse Light Rail,-33.88242199,151.20668605,,200060,1,Level 1,
2000296,2000296,"Central Station, Forecourt, Coach Bay 2",-33.88307332,151.20529211,,200060,2,Level 0,
2000308,2000308,"Central Station, Forecourt, Coach Bay 4",-33.88325845,151.20462064,,200060,2,Level 0,
2000316,2000316,"Central Station, Forecourt, Coach Bay 6",-33.88267099,151.20493746,,200060,2,Level 1,
2000321,2000321,"Central Station, Platform 1",-33.88316452,151.20552345,,200060,1,Level 1,1
2000322,2000322,"Central Station, Platform 2",-33.88322379,151.20563440,,200060,1,Level 1,2
2000323,2000323,"Central Station, Platform 3",-33.88325756,151.20570087,,200060,1,Level 1,3
2000324,2000324,"Central Station, Platform 4",-33.88331683,151.20581181,,200060,1,Level 1,4
2000325,2000325,"Central Station, Platform 5",-33.88335959,151.20587873,,200060,1,Level 1,5
2000326,2000326,"Central Station, Platform 6",-33.88341813,151.20601124,,200060,1,Level 1,6
2000327,2000327,"Central Station, Platform 7",-33.88345227,151.20606693,,200060,1,Level 1,7
