route_id,service_id,trip_id,trip_headsign
2-T1-N-sj2-1,TA+6p400#1+7,101A.2006.101.128.T.8.90669055,Penrith Via Gordon
2-T1-N-sj2-1,TA+6s000#1+7,101A.2006.101.2.T.8.90669055,Penrith Via Gordon
2-T1-N-sj2-1,TA+op400#1+7,101A.442.147.128.T.8.91067881,Penrith Via Gordon
2-T1-N-sj2-1,TA+1s200#1+7,101A.442.147.2.T.8.91067881,Penrith Via Gordon
2-T1-N-sj2-1,TA+tv100+7,101A.937.149.2.A.8.90927730,Central
2-T1-N-sj2-1,TA+6p400#1+7,101D.2006.101.128.T.8.90669059,Lindfield
2-T1-N-sj2-1,TA+6s000#1+7,101D.2006.101.2.T.8.90669059,Lindfield
2-T1-N-sj2-1,TA+op400#1+7,101D.442.147.128.T.8.91065020,Lindfield
2-T1-N-sj2-1,TA+1s200#1+7,101D.442.147.2.T.8.91221618,Lindfield
2-T1-N-sj2-1,TA+tv100+7,101D.937.149.2.A.8.90924890,Lindfield
2-T1-N-sj2-1,TA+6p400#1+7,101E.2006.101.128.T.8.90669061,Penrith Via Central
2-T1-N-sj2-1,TA+6s000#1+7,101E.2006.101.2.T.8.90669061,Penrith Via Central
2-T1-N-sj2-1,TA+op400#1+7,101E.442.147.128.T.8.91065021,Penrith Via Central
2-T1-N-sj2-1,TA+1s200#1+7,101E.442.147.2.T.8.91065021,Penrith Via Central
2-T1-N-sj2-1,TA+tv100+7,101E.937.149.2.A.8.90924891,Penrith Via Central
2-T1-N-sj2-1,TA+6p400#1+7,101H.2006.101.128.T.8.90669067,Lindfield
2-T1-N-sj2-1,TA+6s000#1+7,101H.2006.101.2.T.8.90669067,Lindfield
2-T1-N-sj2-1,TA+op400#1+7,101H.442.147.128.T.8.91064576,Lindfield
2-T1-N-sj2-1,TA+1s200#1+7,101H.442.147.2.T.8.91064576,Lindfield
2-T1-N-sj2-1,TA+tv100+7,101H.937.149.2.A.8.90924444,Lindfield
2-T1-N-sj2-1,TA+6p400#1+7,101J.2006.101.128.T.8.90669069,Penrith Via Central
2-T1-N-sj2-1,TA+6s000#1+7,101J.2006.101.2.T.8.90669069,Penrith Via Central
2-T1-N-sj2-1,TA+op400#1+7,101J.442.147.128.T.8.91067245,Penrith Via Central
2-T1-N-sj2-1,TA+1s200#1+7,101J.442.147.2.T.8.91067245,Penrith Via Central
2-T1-N-sj2-1,TA+tv100+7,101J.937.149.2.A.8.90927094,Penrith Via Central
2-T1-N-sj2-1,TA+6p400#1+7,101M.2006.101.128.T.8.90669075,Lindfield
2-T1-N-sj2-1,TA+6s000#1+7,101M.2006.101.2.T.8.90669075,Lindfield
2-T1-N-sj2-1,TA+op400#1+7,101M.442.147.128.T.8.91064741,Lindfield
2-T1-N-sj2-1,TA+1s200#1+7,101M.442.147.2.T.8.91064741,Lindfield
2-T1-N-sj2-1,TA+tv100+7,101M.937.149.2.A.8.90924610,Lindfield
2-T1-N-sj2-1,TA+6p400#1+7,101N.2006.101.128.T.8.90669077,Penrith Via Central
2-T1-N-sj2-1,TA+6s000#1+7,101N.2006.101.2.T.8.90669077,Penrith Via Central
2-T1-N-sj2-1,TA+op400#1+7,101N.442.147.128.T.8.91066883,Penrith Via Central
2-T1-N-sj2-1,TA+1s200#1+7,101N.442.147.2.T.8.91726508,Penrith Via Central
2-T1-N-sj2-1,TA+tv100+7,101N.937.149.2.A.8.90926731,Penrith Via Central
2-T1-N-sj2-1,TA+6p400#1+7,101S.2006.101.128.T.8.90669083,Lindfield
2-T1-N-sj2-1,TA+6s000#1+7,101S.2006.101.2.T.8.90669083,Lindfield
2-T1-N-sj2-1,TA+op400#1+7,101S.442.147.128.T.8.91064670,Lindfield
2-T1-N-sj2-1,TA+1s200#1+7,101S.442.147.2.T.8.91064670,Lindfield
2-T1-N-sj2-1,TA+tv100+7,101S.937.149.2.A.8.90924538,Lindfield
2-T1-N-sj2-1,TA+6p400#1+7,101T.2006.101.128.T.8.90669085,Penrith Via Central
2-T1-N-sj2-1,TA+6s000#1+7,101T.2006.101.2.T.8.90669085,Penrith Via Central
2-T1-N-sj2-1,TA+op400#1+7,101T.442.147.128.T.8.91065162,Penrith Via Central
2-T1-N-sj2-1,TA+1s200#1+7,101T.442.147.2.T.8.91065162,Penrith Via Central
2-T1-N-sj2-1,TA+tv100+7,101T.937.149.2.A.8.90925032,Penrith Via Central
2-T1-N-sj2-1,TA+6p400#1+7,101W.2006.101.128.T.8.90669091,Lindfield
2-T1-N-sj2-1,TA+6s000#1+7,101W.2006.101.2.T.8.90669090,North Sydney
2-T1-N-sj2-1,TA+op400#1+7,101W.442.147.128.T.8.91066540,Lindfield
2-T1-N-sj2-1,TA+1s200#1+7,101W.442.147.2.T.8.91067708,North Sydney
2-T1-N-sj2-1,TA+tv100+7,101W.937.149.2.A.8.90927556,North Sydney
2-T1-N-sj2-1,TA+6p400#1+7,101X.2006.101.128.T.8.90669093,Penrith Via Central
2-T1-N-sj2-1,TA+6s000#1+7,101X.2006.101.2.T.8.90669092,Richmond Via Central
2-T1-N-sj2-1,TA+op400#1+7,101X.442.147.128.T.8.91065343,Penrith Via Central
2-T1-N-sj2-1,TA+1s200#1+7,101X.442.147.2.T.8.91067707,Richmond Via Central
2-T1-N-sj2-1,TA+tv100+7,101X.937.149.2.A.8.90927555,Richmond Via Central
2-T1-N-sj2-1,TA+6p400#1+7,102B.2006.101.128.T.8.90669100,Berowra Via Gordon
2-T1-N-sj2-1,TA+6s000#1+7,102B.2006.101.2.T.8.90669100,Berowra Via Gordon
2-T1-N-sj2-1,TA+op400#1+7,102B.442.147.128.T.8.91067664,Berowra Via Gordon
2-T1-N-sj2-1,TA+1s200#1+7,102B.442.147.2.T.8.91235533,Berowra Via Gordon
2-T1-N-sj2-1,TA+6p400#1+7,102F.2006.101.128.T.8.90669109,Berowra Via Gordon
2-T1-N-sj2-1,TA+6s000#1+7,102F.2006.101.2.T.8.90669109,Berowra Via Gordon
2-T1-N-sj2-1,TA+op400#1+7,102F.442.147.128.T.8.91066155,Berowra Via Gordon
2-T1-N-sj2-1,TA+1s200#1+7,102F.442.147.2.T.8.91287737,Berowra Via Gordon
2-T1-N-sj2-1,TA+6p400#1+7,102K.2006.101.128.T.8.90669117,Berowra Via Gordon
2-T1-N-sj2-1,TA+6s000#1+7,102K.2006.101.2.T.8.90669117,Berowra Via Gordon
2-T1-N-sj2-1,TA+op400#1+7,102K.442.147.128.T.8.91065834,Berowra Via Gordon
2-T1-N-sj2-1,TA+1s200#1+7,102K.442.147.2.T.8.91065834,Berowra Via Gordon
2-T1-N-sj2-1,TA+6p400#1+7,102P.2006.101.128.T.8.90669125,Berowra Via Gordon
2-T1-N-sj2-1,TA+6s000#1+7,102P.2006.101.2.T.8.90669125,Berowra Via Gordon
2-T1-N-sj2-1,TA+op400#1+7,102P.442.147.128.T.8.91521100,Berowra Via Gordon
2-T1-N-sj2-1,TA+1s200#1+7,102P.442.147.2.T.8.91064837,Berowra Via Gordon
2-T1-N-sj2-1,TA+6p400#1+7,102U.2006.101.128.T.8.90669136,Hornsby Via Gordon
2-T1-N-sj2-1,TA+op400#1+7,102U.442.147.128.T.8.91065354,Hornsby Via Gordon
2-T1-N-sj2-1,TA+2u300#1+7,103D.1396.156.20.T.8.91318485,Hornsby Via Gordon
2-T1-N-sj2-1,TA+1m200#1+7,103D.1396.156.32.T.8.91318485,Hornsby Via Gordon
2-T1-N-sj2-1,TA+7m200#1+7,103D.1396.156.64.T.8.91318485,Hornsby Via Gordon
2-T1-N-sj2-1,TA+bu300#1+7,103D.1396.156.8.T.8.90986923,Hornsby Via Gordon
2-T1-N-sj2-1,TA+hw400#1+7,103D.2006.101.124.T.8.90669144,Hornsby Via Gordon
2-T1-N-sj2-1,TA+6p400#1+7,103D.2006.101.128.T.8.90669145,Lindfield
2-T1-N-sj2-1,TA+6s000#1+7,103D.2006.101.2.T.8.90669145,Lindfield
2-T1-N-sj2-1,TA+op400#1+7,103D.442.147.128.T.8.91066029,Lindfield
2-T1-N-sj2-1,TA+1s200#1+7,103D.442.147.2.T.8.91221501,Lindfield
2-T1-N-sj2-1,TA+jp400#1+7,103D.807.166.12.T.8.91072733,Hornsby Via Gordon
2-T1-N-sj2-1,TA+mp400#1+7,103D.807.166.48.T.8.91072733,Hornsby Via Gordon
2-T1-N-sj2-1,TA+fu300#1+7,103D.807.166.64.T.8.91072733,Hornsby Via Gordon
2-T1-N-sj2-1,TA+tv100+7,103D.937.149.2.T.8.90925875,Lindfield
2-T1-N-sj2-1,TA+63200+7,103D.938.153.12.T.8.90944972,Hornsby Via Gordon
2-T1-N-sj2-1,TA+c3300#1+7,103D.938.153.32-20260827.T.8.90944972,Hornsby Via Gordon
2-T1-N-sj2-1,TA+wx100#1+7,103D.938.153.64-20260827.T.8.90944972,Hornsby Via Gordon
2-T1-N-sj2-1,TA+9y100#1+7,103D.938.154.16.T.8.90944972,Hornsby Via Gordon
2-T1-N-sj2-1,TA+2u300#1+7,103E.1396.156.20.T.8.91318486,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+1m200#1+7,103E.1396.156.32.T.8.91318486,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+7m200#1+7,103E.1396.156.64.T.8.91318486,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+bu300#1+7,103E.1396.156.8.T.8.90984891,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+hw400#1+7,103E.2006.101.124.T.8.90669146,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+6p400#1+7,103E.2006.101.128.T.8.90669147,Penrith Via Central
2-T1-N-sj2-1,TA+6s000#1+7,103E.2006.101.2.T.8.90669147,Penrith Via Central
2-T1-N-sj2-1,TA+op400#1+7,103E.442.147.128.T.8.91066028,Penrith Via Central
2-T1-N-sj2-1,TA+1s200#1+7,103E.442.147.2.T.8.91066028,Penrith Via Central
2-T1-N-sj2-1,TA+jp400#1+7,103E.807.166.12.T.8.91071829,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+mp400#1+7,103E.807.166.48.T.8.91071829,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+fu300#1+7,103E.807.166.64.T.8.91071829,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+tv100+7,103E.937.149.2.T.8.90925874,Penrith Via Central
2-T1-N-sj2-1,TA+63200+7,103E.938.153.12.T.8.90944971,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+c3300#1+7,103E.938.153.32-20260827.T.8.90944971,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+wx100#1+7,103E.938.153.64-20260827.T.8.90944971,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+9y100#1+7,103E.938.154.16.T.8.90944971,Emu Plains Via Gordon
2-T1-N-sj2-1,TA+2u300#1+7,103H.1396.156.20.T.8.91318495,North Sydney
2-T1-N-sj2-1,TA+1m200#1+7,103H.1396.156.32.T.8.91318495,North Sydney
2-T1-N-sj2-1,TA+7m200#1+7,103H.1396.156.64.T.8.90984459,North Sydney
2-T1-N-sj2-1,TA+bu300#1+7,103H.1396.156.8.T.8.90989312,North Sydney
2-T1-N-sj2-1,TA+hw400#1+7,103H.2006.101.124.T.8.90669152,North Sydney
2-T1-N-sj2-1,TA+6p400#1+7,103H.2006.101.128.T.8.90669153,Lindfield
2-T1-N-sj2-1,TA+6s000#1+7,103H.2006.101.2.T.8.90669153,Lindfield
2-T1-N-sj2-1,TA+op400#1+7,103H.442.147.128.T.8.91065012,Lindfield
2-T1-N-sj2-1,TA+1s200#1+7,103H.442.147.2.T.8.91395400,Lindfield
2-T1-N-sj2-1,TA+jp400#1+7,103H.807.166.12.T.8.91074221,North Sydney
2-T1-N-sj2-1,TA+mp400#1+7,103H.807.166.48.T.8.91074221,North Sydney
2-T1-N-sj2-1,TA+fu300#1+7,103H.807.166.64.T.8.91072555,North Sydney
2-T1-N-sj2-1,TA+tv100+7,103H.937.149.2.T.8.90924882,Lindfield
2-T1-N-sj2-1,TA+63200+7,103H.938.153.12.T.8.90945952,North Sydney
2-T1-N-sj2-1,TA+c3300#1+7,103H.938.153.32-20260827.T.8.90945952,North Sydney
2-T1-N-sj2-1,TA+wx100#1+7,103H.938.153.64-20260827.T.8.90946660,North Sydney
2-T1-N-sj2-1,TA+9y100#1+7,103H.938.154.16.T.8.90945952,North Sydney
2-T1-N-sj2-1,TA+2u300#1+7,103J.1396.156.20.T.8.91318488,Richmond Via Central
2-T1-N-sj2-1,TA+1m200#1+7,103J.1396.156.32.T.8.91318488,Richmond Via Central
2-T1-N-sj2-1,TA+7m200#1+7,103J.1396.156.64.T.8.91318488,Richmond Via Central
2-T1-N-sj2-1,TA+bu300#1+7,103J.1396.156.8.T.8.90984458,Richmond Via Central
2-T1-N-sj2-1,TA+hw400#1+7,103J.2006.101.124.T.8.90669154,Richmond Via Central
2-T1-N-sj2-1,TA+6p400#1+7,103J.2006.101.128.T.8.90669155,Penrith Via Central
2-T1-N-sj2-1,TA+6s000#1+7,103J.2006.101.2.T.8.90669155,Penrith Via Central
2-T1-N-sj2-1,TA+op400#1+7,103J.442.147.128.T.8.91065011,Penrith Via Central
2-T1-N-sj2-1,TA+1s200#1+7,103J.442.147.2.T.8.91065011,Penrith Via Central
2-T1-N-sj2-1,TA+jp400#1+7,103J.807.166.12.T.8.91073873,Richmond Via Central
2-T1-N-sj2-1,TA+mp400#1+7,103J.807.166.48.T.8.91073873,Richmond Via Central
2-T1-N-sj2-1,TA+fu300#1+7,103J.807.166.64.T.8.91073873,Richmond Via Central
2-T1-N-sj2-1,TA+tv100+7,103J.937.149.2.T.8.90924881,Penrith Via Central
2-T1-N-sj2-1,TA+63200+7,103J.938.153.12.T.8.90946663,Richmond Via Central
2-T1-N-sj2-1,TA+c3300#1+7,103J.938.153.32-20260827.T.8.90946663,Richmond Via Central
2-T1-N-sj2-1,TA+wx100#1+7,103J.938.153.64-20260827.T.8.90946663,Richmond Via Central
2-T1-N-sj2-1,TA+9y100#1+7,103J.938.154.16.T.8.90946663,Richmond Via Central
2-T1-N-sj2-1,TA+2u300#1+7,103M.1396.156.20.T.8.91318490,Hornsby Via Gordon
2-T1-N-sj2-1,TA+1m200#1+7,103M.1396.156.32.T.8.91318490,Hornsby Via Gordon
2-T1-N-sj2-1,TA+7m200#1+7,103M.1396.156.64.T.8.91318490,Hornsby Via Gordon
