service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
2_merged_15726415,20260608,20260906,0,0,0,0,0,1,0
1101_merged_15726428,20260608,20260906,0,0,0,0,0,0,0
1201_merged_15726432,20260907,20270103,0,0,0,0,0,0,0
1_merged_15726439,20260907,20270103,1,1,1,1,1,0,0
3_merged_15726414,20260608,20260906,0,0,0,0,0,0,1
1101_merged_15726454,20260907,20270103,0,0,0,0,0,0,0
1_merged_15726413,20260608,20260906,1,1,1,1,1,0,0
1201_merged_15726406,20260608,20260906,0,0,0,0,0,0,0
292502,20260608,20260906,0,0,0,0,0,0,0
2_merged_15726441,20260907,20270103,0,0,0,0,0,1,0
3_merged_15726440,20260907,20270103,0,0,0,0,0,0,1
