service_id,date,exception_type
1101_merged_15726428,20260610,1
1101_merged_15726428,20260708,1
1101_merged_15726428,20260902,1
1101_merged_15726428,20260901,1
1101_merged_15726428,20260630,1
1101_merged_15726428,20260618,1
1101_merged_15726428,20260625,1
1101_merged_15726428,20260716,1
1101_merged_15726428,20260611,1
1101_merged_15726428,20260715,1
1101_merged_15726428,20260617,1
1101_merged_15726428,20260713,1
1101_merged_15726428,20260615,1
1101_merged_15726428,20260721,1
1101_merged_15726428,20260806,1
1101_merged_15726428,20260804,1
1101_merged_15726428,20260805,1
1101_merged_15726428,20260824,1
1101_merged_15726428,20260825,1
1101_merged_15726428,20260826,1
1101_merged_15726428,20260827,1
1101_merged_15726428,20260706,1
1101_merged_15726428,20260714,1
1101_merged_15726428,20260608,1
1101_merged_15726428,20260622,1
1101_merged_15726428,20260609,1
1101_merged_15726428,20260616,1
1101_merged_15726428,20260702,1
1101_merged_15726428,20260709,1
1101_merged_15726428,20260820,1
1101_merged_15726428,20260819,1
1101_merged_15726428,20260818,1
1101_merged_15726428,20260729,1
1101_merged_15726428,20260728,1
1101_merged_15726428,20260707,1
1101_merged_15726428,20260629,1
1101_merged_15726428,20260811,1
1101_merged_15726428,20260722,1
1101_merged_15726428,20260813,1
1101_merged_15726428,20260720,1
1101_merged_15726428,20260727,1
1101_merged_15726428,20260623,1
1101_merged_15726428,20260817,1
1101_merged_15726428,20260730,1
1101_merged_15726428,20260831,1
1101_merged_15726428,20260903,1
1101_merged_15726428,20260810,1
1101_merged_15726428,20260812,1
1101_merged_15726428,20260624,1
1101_merged_15726428,20260723,1
1201_merged_15726432,20260925,1
1201_merged_15726432,20261016,1
1201_merged_15726432,20260918,1
1201_merged_15726432,20261106,1
1201_merged_15726432,20261120,1
1201_merged_15726432,20261023,1
1201_merged_15726432,20261218,1
1201_merged_15726432,20261211,1
1201_merged_15726432,20261113,1
1201_merged_15726432,20260911,1
1201_merged_15726432,20261030,1
1201_merged_15726432,20261204,1
1201_merged_15726432,20261009,1
1201_merged_15726432,20261127,1
1201_merged_15726432,20261002,1
1_merged_15726439,20260930,2
1_merged_15726439,20261225,2
1_merged_15726439,20270101,2
1_merged_15726439,20260907,2
1_merged_15726439,20261012,2
1_merged_15726439,20261111,2
3_merged_15726414,20260701,1
3_merged_15726414,20260803,1
1101_merged_15726454,20261221,1
1101_merged_15726454,20261223,1
1101_merged_15726454,20261222,1
1101_merged_15726454,20261224,1
1101_merged_15726454,20261229,1
1101_merged_15726454,20261228,1
1101_merged_15726454,20261209,1
1101_merged_15726454,20261208,1
1101_merged_15726454,20261116,1
1101_merged_15726454,20260924,1
1101_merged_15726454,20260921,1
1101_merged_15726454,20260923,1
1101_merged_15726454,20260922,1
1101_merged_15726454,20260929,1
1101_merged_15726454,20260928,1
1101_merged_15726454,20261008,1
1101_merged_15726454,20261001,1
1101_merged_15726454,20261005,1
1101_merged_15726454,20261201,1
1101_merged_15726454,20261007,1
1101_merged_15726454,20261006,1
1101_merged_15726454,20261022,1
1101_merged_15726454,20261102,1
1101_merged_15726454,20261103,1
1101_merged_15726454,20261104,1
1101_merged_15726454,20261105,1
1101_merged_15726454,20261210,1
1101_merged_15726454,20261109,1
1101_merged_15726454,20261029,1
1101_merged_15726454,20261028,1
1101_merged_15726454,20261214,1
1101_merged_15726454,20261215,1
1101_merged_15726454,20261216,1
1101_merged_15726454,20261217,1
1101_merged_15726454,20260914,1
1101_merged_15726454,20260915,1
1101_merged_15726454,20260916,1
1101_merged_15726454,20260917,1
1101_merged_15726454,20260910,1
1101_merged_15726454,20261130,1
1101_merged_15726454,20261112,1
1101_merged_15726454,20261014,1
1101_merged_15726454,20261015,1
1101_merged_15726454,20261117,1
1101_merged_15726454,20261013,1
1101_merged_15726454,20261203,1
1101_merged_15726454,20261202,1
1101_merged_15726454,20261119,1
1101_merged_15726454,20261118,1
1101_merged_15726454,20261207,1
1101_merged_15726454,20261021,1
1101_merged_15726454,20261019,1
1101_merged_15726454,20261020,1
1101_merged_15726454,20261027,1
1101_merged_15726454,20261026,1
1101_merged_15726454,20261110,1
1101_merged_15726454,20260909,1
1101_merged_15726454,20260908,1
1101_merged_15726454,20261126,1
1101_merged_15726454,20261124,1
1101_merged_15726454,20261125,1
1101_merged_15726454,20261123,1
1101_merged_15726454,20261230,1
1101_merged_15726454,20261231,1
1_merged_15726413,20260701,2
1_merged_15726413,20260803,2
1201_merged_15726406,20260703,1
1201_merged_15726406,20260619,1
1201_merged_15726406,20260807,1
1201_merged_15726406,20260626,1
1201_merged_15726406,20260612,1
1201_merged_15726406,20260904,1
1201_merged_15726406,20260814,1
1201_merged_15726406,20260710,1
1201_merged_15726406,20260724,1
1201_merged_15726406,20260821,1
1201_merged_15726406,20260717,1
1201_merged_15726406,20260828,1
1201_merged_15726406,20260731,1
292502,20260613,1
2_merged_15726441,20261226,1
3_merged_15726440,20260930,1
3_merged_15726440,20261225,1
3_merged_15726440,20270101,1
3_merged_15726440,20260907,1
3_merged_15726440,20261012,1
3_merged_15726440,20261111,1
