stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.285139,1,61393,-123.114206,11302,,12034,,Waterfront Station @ Platform 4,0,ZN 1
49.285687,1,61925,-123.111773,12034,https://translink.ca/schedules-and-maps/station/waterfront/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=waterfront,,,Waterfront Station,1,ZN 1
49.282462,1,61363,-123.118283,11272,,99915,,Vancouver City Centre Station @ Platform 2,0,ZN 1
49.282415,1,,-123.118227,99915,https://translink.ca/schedules-and-maps/station/vancouver-city-centre/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=vancouver-city-centre,,,Vancouver City Centre Station,1,ZN 1
49.274467,1,61365,-123.122124,11274,,99914,,Yaletown-Roundhouse Station @ Platform 2,0,ZN 1
49.274492,1,,-123.122079,99914,https://translink.ca/schedules-and-maps/station/yaletown-roundhouse/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=yaletown-roundhouse,,,Yaletown-Roundhouse Station,1,ZN 1
49.266616,1,61367,-123.115218,11276,,99913,,Olympic Village Station @ Platform 2,0,ZN 1
49.266596,1,,-123.115348,99913,https://translink.ca/schedules-and-maps/station/olympic-village/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=olympic-village,,,Olympic Village Station,1,ZN 1
49.262684,1,61369,-123.114856,11278,,99912,,Broadway-City Hall Station @ Platform 2,0,ZN 1
49.262717,1,,-123.114822,99912,https://translink.ca/schedules-and-maps/station/broadway-city-hall/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=broadway-city-hall,,,Broadway-City Hall Station,1,ZN 1
49.249186,1,61371,-123.115716,11280,,99911,,King Edward Station @ Platform 2,0,ZN 1
49.249175,1,,-123.11545,99911,https://translink.ca/schedules-and-maps/station/king-edward/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=king-edward,,,King Edward Station,1,ZN 1
49.233747,1,61373,-123.116422,11282,,99910,,Oakridge-41st Avenue Station @ Platform 2,0,ZN 1
49.233739,1,,-123.116295,99910,https://translink.ca/schedules-and-maps/station/oakridge-41st-avenue/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=oakridge-41st-avenue,,,Oakridge-41st Avenue Station,1,ZN 1
49.225743,1,61375,-123.116752,11284,,99909,,Langara-49th Avenue Station @ Platform 2,0,ZN 1
49.22573,1,,-123.116523,99909,https://translink.ca/schedules-and-maps/station/langara-49th-avenue/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=langara-49th-avenue,,,Langara-49th Avenue Station,1,ZN 1
49.209661,1,61377,-123.117078,11286,,99908,,Marine Drive Station @ Platform 2,0,ZN 1
49.209666,1,,-123.117015,99908,https://translink.ca/schedules-and-maps/station/marine-drive/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=marine-drive,,,Marine Drive Station,1,ZN 1
49.195558,1,61379,-123.126076,11288,,99907,,Bridgeport Station @ Platform 2,0,ZN 2
