route_id,service_id,trip_id,trip_headsign
13686,3_merged_15726414,15265188,Canada Line To YVR-Airport
13686,3_merged_15726414,15265189,Canada Line To Richmond-Brighouse
13686,3_merged_15726414,15264859,Canada Line To Waterfront
13686,3_merged_15726414,15264858,Canada Line To Waterfront
13686,3_merged_15726414,15264851,Canada Line To Waterfront
13686,3_merged_15726414,15264850,Canada Line To Waterfront
13686,3_merged_15726414,15264853,Canada Line To Waterfront
13686,3_merged_15726414,15264852,Canada Line To Waterfront
13686,3_merged_15726414,15264855,Canada Line To Waterfront
13686,3_merged_15726414,15264854,Canada Line To Waterfront
13686,3_merged_15726414,15264857,Canada Line To Waterfront
13686,3_merged_15726414,15264856,Canada Line To Waterfront
13686,3_merged_15726440,15502708,Canada Line To YVR-Airport
13686,3_merged_15726440,15502709,Canada Line To Richmond-Brighouse
13686,3_merged_15726440,15502700,Canada Line To YVR-Airport
13686,3_merged_15726440,15502701,Canada Line To Richmond-Brighouse
13686,3_merged_15726440,15502702,Canada Line To YVR-Airport
13686,3_merged_15726440,15502703,Canada Line To Richmond-Brighouse
13686,3_merged_15726440,15502704,Canada Line To YVR-Airport
13686,3_merged_15726440,15502705,Canada Line To Richmond-Brighouse
13686,3_merged_15726440,15502706,Canada Line To YVR-Airport
13686,3_merged_15726440,15502707,Canada Line To Richmond-Brighouse
30052,3_merged_15726440,15524058,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524059,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524054,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524055,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524056,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524057,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524050,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524051,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524052,Millennium Line To Lafarge Lake-Douglas
30052,3_merged_15726440,15524053,Millennium Line To Lafarge Lake-Douglas
30053,2_merged_15726415,15267948,Expo Line To Waterfront
30053,2_merged_15726415,15267949,Expo Line To Waterfront
30053,2_merged_15726415,15267942,Expo Line To Waterfront
30053,2_merged_15726415,15267943,Expo Line To Waterfront
30053,2_merged_15726415,15267940,Expo Line To Waterfront
30053,2_merged_15726415,15267941,Expo Line To Waterfront
30053,2_merged_15726415,15267946,Expo Line To Waterfront
30053,2_merged_15726415,15267947,Expo Line To Waterfront
30053,2_merged_15726415,15267944,Expo Line To Waterfront
30052,2_merged_15726415,15266099,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266098,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266097,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266096,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266095,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266094,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266093,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266092,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266091,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266090,Millennium Line To VCC-Clark
30053,1201_merged_15726432,15522841,Expo Line To Waterfront
30053,1101_merged_15726454,15522840,Expo Line To Waterfront
30053,1101_merged_15726454,15522843,Expo Line To Waterfront
30053,1201_merged_15726432,15522842,Expo Line To Waterfront
30053,1101_merged_15726454,15522845,Expo Line To Waterfront
30053,1201_merged_15726432,15522844,Expo Line To Waterfront
30053,1201_merged_15726432,15522847,Expo Line To Waterfront
30053,1201_merged_15726432,15522846,Expo Line To Waterfront
30053,1201_merged_15726432,15522849,Expo Line To Waterfront
30053,1101_merged_15726454,15522848,Expo Line To Waterfront
30052,1_merged_15726439,15521578,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521579,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521574,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521575,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521576,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521577,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521570,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521571,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521572,Millennium Line To VCC-Clark
30052,1_merged_15726439,15521573,Millennium Line To VCC-Clark
30053,3_merged_15726440,15524810,Expo Line To Waterfront
30053,3_merged_15726440,15524811,Expo Line To Waterfront
30053,3_merged_15726440,15524812,Expo Line To Waterfront
30053,3_merged_15726440,15524814,Expo Line To Waterfront
30053,3_merged_15726440,15524816,Expo Line To Waterfront
30053,3_merged_15726440,15524817,Expo Line To Waterfront
13686,1_merged_15726439,15501529,Canada Line To Richmond-Brighouse
13686,1_merged_15726439,15501528,Canada Line To YVR-Airport
13686,2_merged_15726441,15502067,Canada Line To Richmond-Brighouse
13686,1_merged_15726439,15501478,Canada Line To YVR-Airport
13686,2_merged_15726441,15502009,Canada Line To Richmond-Brighouse
13686,2_merged_15726441,15502008,Canada Line To YVR-Airport
30053,1201_merged_15726432,15522293,Expo Line To Production Way-University
30053,3_merged_15726440,15524797,Expo Line To Waterfront
30053,3_merged_15726440,15524796,Expo Line To Waterfront
30053,3_merged_15726440,15524795,Expo Line To Waterfront
30053,3_merged_15726440,15524794,Expo Line To Waterfront
30053,3_merged_15726440,15524793,Expo Line To Waterfront
30053,3_merged_15726440,15524792,Expo Line To Waterfront
30053,3_merged_15726440,15524791,Expo Line To Waterfront
30053,3_merged_15726440,15524790,Expo Line To Waterfront
30053,3_merged_15726440,15524799,Expo Line To Waterfront
30053,3_merged_15726440,15524798,Expo Line To Waterfront
30053,1_merged_15726439,15522568,Expo Line To Waterfront
30053,1_merged_15726439,15522569,Expo Line To Waterfront
30053,1_merged_15726439,15522562,Expo Line To Waterfront
30053,1_merged_15726439,15522563,Expo Line To Waterfront
30053,1_merged_15726439,15522560,Expo Line To Waterfront
30053,1_merged_15726439,15522561,Expo Line To Waterfront
30053,1_merged_15726439,15522566,Expo Line To Waterfront
30053,1_merged_15726439,15522567,Expo Line To Waterfront
30053,1_merged_15726439,15522564,Expo Line To Waterfront
30053,1_merged_15726439,15522565,Expo Line To Waterfront
30052,2_merged_15726441,15523211,Millennium Line To VCC-Clark
30052,2_merged_15726441,15523210,Millennium Line To VCC-Clark
30052,2_merged_15726441,15523217,Millennium Line To VCC-Clark
30052,2_merged_15726441,15523216,Millennium Line To VCC-Clark
30052,2_merged_15726441,15523215,Millennium Line To VCC-Clark
30052,2_merged_15726441,15523214,Millennium Line To VCC-Clark
13686,1_merged_15726439,15501345,Canada Line To Waterfront
13686,1_merged_15726439,15501344,Canada Line To Waterfront
13686,1_merged_15726439,15501347,Canada Line To Waterfront
13686,1_merged_15726439,15501346,Canada Line To Waterfront
13686,1_merged_15726439,15501341,Canada Line To Waterfront
13686,1_merged_15726439,15501340,Canada Line To Waterfront
13686,1_merged_15726439,15501343,Canada Line To Waterfront
13686,1_merged_15726439,15501342,Canada Line To Waterfront
30052,2_merged_15726415,15266118,Millennium Line To VCC-Clark
30052,2_merged_15726415,15266119,Millennium Line To VCC-Clark
