service_id,date,exception_type
Rail SaSu + Hol_20260823,20260823,1
Rail SaSu + Hol_20260823,20260829,1
Rail SaSu + Hol_20260823,20260830,1
Rail SaSu + Hol_20260823,20260905,1
Rail SaSu + Hol_20260823,20260906,1
Rail SaSu + Hol_20260823,20260912,1
Rail SaSu + Hol_20260823,20260913,1
Rail SaSu + Hol_20260823,20260919,1
Rail SaSu + Hol_20260823,20260920,1
Rail SaSu + Hol_20260823,20260926,1
Rail MEL WEST_20260823,20260824,1
Rail MEL WEST_20260823,20260825,1
Rail MEL WEST_20260823,20260826,1
Rail MEL WEST_20260823,20260827,1
Rail MEL WEST_20260823,20260828,1
Rail MEL WEST_20260823,20260831,1
Rail MEL WEST_20260823,20260901,1
Rail MEL WEST_20260823,20260902,1
Rail MEL WEST_20260823,20260903,1
Rail MEL WEST_20260823,20260904,1
Rail MEL WEST_20260823,20260907,1
Rail MEL WEST_20260823,20260908,1
Rail MEL WEST_20260823,20260909,1
Rail MEL WEST_20260823,20260910,1
Rail MEL WEST_20260823,20260911,1
Rail MEL WEST_20260823,20260914,1
Rail MEL WEST_20260823,20260915,1
Rail MEL WEST_20260823,20260916,1
Rail MEL WEST_20260823,20260917,1
Rail MEL WEST_20260823,20260918,1
Rail MEL WEST_20260823,20260921,1
Rail MEL WEST_20260823,20260922,1
Rail MEL WEST_20260823,20260923,1
Rail MEL WEST_20260823,20260924,1
Rail MEL WEST_20260823,20260925,1
Rail F-XHol_20260823,20260828,1
Rail F-XHol_20260823,20260904,1
Rail F-XHol_20260823,20260911,1
Rail F-XHol_20260823,20260918,1
Rail F-XHol_20260823,20260925,1
Rail SaSu + Hol (WRL)_20260823,20260823,1
Rail SaSu + Hol (WRL)_20260823,20260829,1
Rail SaSu + Hol (WRL)_20260823,20260830,1
Rail SaSu + Hol (WRL)_20260823,20260905,1
Rail SaSu + Hol (WRL)_20260823,20260906,1
Rail SaSu + Hol (WRL)_20260823,20260912,1
Rail SaSu + Hol (WRL)_20260823,20260913,1
Rail SaSu + Hol (WRL)_20260823,20260919,1
Rail SaSu + Hol (WRL)_20260823,20260920,1
Rail SaSu + Hol (WRL)_20260823,20260926,1
Rail Sa_20260823,20260829,1
Rail Sa_20260823,20260905,1
Rail Sa_20260823,20260912,1
Rail Sa_20260823,20260919,1
Rail Sa_20260823,20260926,1
Rail MTuWThF-XHol_20260823,20260824,1
Rail MTuWThF-XHol_20260823,20260825,1
Rail MTuWThF-XHol_20260823,20260826,1
Rail MTuWThF-XHol_20260823,20260827,1
Rail MTuWThF-XHol_20260823,20260828,1
Rail MTuWThF-XHol_20260823,20260831,1
Rail MTuWThF-XHol_20260823,20260901,1
Rail MTuWThF-XHol_20260823,20260902,1
Rail MTuWThF-XHol_20260823,20260903,1
Rail MTuWThF-XHol_20260823,20260904,1
Rail MTuWThF-XHol_20260823,20260907,1
Rail MTuWThF-XHol_20260823,20260908,1
Rail MTuWThF-XHol_20260823,20260909,1
Rail MTuWThF-XHol_20260823,20260910,1
Rail MTuWThF-XHol_20260823,20260911,1
Rail MTuWThF-XHol_20260823,20260914,1
Rail MTuWThF-XHol_20260823,20260915,1
Rail MTuWThF-XHol_20260823,20260916,1
Rail MTuWThF-XHol_20260823,20260917,1
Rail MTuWThF-XHol_20260823,20260918,1
Rail MTuWThF-XHol_20260823,20260921,1
Rail MTuWThF-XHol_20260823,20260922,1
Rail MTuWThF-XHol_20260823,20260923,1
Rail MTuWThF-XHol_20260823,20260924,1
Rail MTuWThF-XHol_20260823,20260925,1
Rail Sa-XSun_20260823,20260829,1
Rail Sa-XSun_20260823,20260905,1
Rail Sa-XSun_20260823,20260912,1
Rail Sa-XSun_20260823,20260919,1
Rail Sa-XSun_20260823,20260926,1
