stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
PLIM2,PLIM2,Plimmerton Station,,-41.08388941,174.86725873,6,,0,PLIM,
SILV,SILV,Silverstream Station,,-41.14729787,175.01029236,6,,0,,Pacific/Auckland
WELL9,WELL9,Wellington Station,,-41.27859,174.78115,1,,0,WELL,
LIND,LIND,Linden Station,,-41.15895027,174.83202049,4,,0,,Pacific/Auckland
PAEK1,PAEK1,Paekākāriki Station,,-40.98721597,174.95444372,8,,0,PAEK,
WELL8,WELL8,Wellington Station,,-41.27854,174.78108,1,,0,WELL,
WOBU1,WOBU1,Woburn Station,,-41.22092182,174.91133467,4,,0,WOBU,
MAYM,MAYM,Maymorn Station,,-41.10808608,175.13409007,8,,0,,Pacific/Auckland
WELL6,WELL6,Wellington Station,,-41.27849,174.78091,1,,0,WELL,
WAIK,WAIK,Waikanae Station,,-40.87658706,175.06621317,10,,0,,Pacific/Auckland
NAEN,NAEN,Naenae Station,,-41.19783157,174.94616226,5,,0,,Pacific/Auckland
WELL7,WELL7,Wellington Station,,-41.27852,174.78101,1,,0,WELL,
PETO1,PETO1,Petone Station,,-41.22202574,174.86951757,4,,0,PETO,
WELL3,WELL3,Wellington Station,,-41.27838,174.78075,1,,0,WELL,
TAIT2,TAIT2,Taita Station,,-41.18031902,174.96066803,5,,0,TAIT,
NGAI2,NGAI2,Ngaio Station,,-41.25095078999999,174.77181247,3,,0,NGAI,
REDW1,REDW1,Redwood Station,,-41.17635099,174.82696425,4,,0,REDW,
WELL4,WELL4,Wellington Station,,-41.27841,174.7808,1,,0,WELL,
WELL1,WELL1,Wellington Station,,-41.27817424696368,174.78119958042856,1,,0,WELL,
WING,WING,Wingate Station,,-41.18878155,174.95469693,5,,0,,Pacific/Auckland
HERE,HERE,Heretaunga Station,,-41.14233915,175.02591233,6,,0,,Pacific/Auckland
WELL5,WELL5,Wellington Station,,-41.27847,174.78086,1,,0,WELL,
KHAN1,KHAN1,Khandallah Station,,-41.24268712,174.7934831,3,,0,KHAN,
NGAI1,NGAI1,Ngaio Station,,-41.25099113999999,174.77190448,3,,0,NGAI,
PARE,PARE,Paremata Station,,-41.10631518,174.86626787,6/5,,0,,Pacific/Auckland
SOLW,SOLW,Solway Station,,-40.95338889,175.62551783,14,,0,,Pacific/Auckland
PORI2,PORI2,Porirua Station,,-41.13757034999999,174.84327366,5,,0,PORI,
PARA2,PARA2,Paraparaumu Station,,-40.91662332,175.00712796,9,,0,PARA,
WALL2,WALL2,Wallaceville Station,,-41.130638,175.05837444,7,,0,WALL,
PUKE,PUKE,Pukerua Bay Station,,-41.03801419,174.88677691,7,,0,,Pacific/Auckland
RARO,RARO,Raroa Station,,-41.23225739,174.80174787,3,,0,,Pacific/Auckland
WEST,WEST,Western Hutt Station,,-41.21187,174.889995,4,,0,,Pacific/Auckland
JOHN,JOHN,Johnsonville Station,,-41.22334496,174.80474332,3,,0,,Pacific/Auckland
WALL1,WALL1,Wallaceville Station,,-41.13063693,175.0588165,7,,0,WALL,
TREN1,TREN1,Trentham Station,,-41.13791945,175.0384812,6/7,,0,TREN,
POMA,POMA,Pomare Station,,-41.16945495,174.96972088,5,,0,,Pacific/Auckland
WOBU2,WOBU2,Woburn Station,,-41.22083262999999,174.91119314,4,,0,WOBU,
CROF,CROF,Crofton Downs Station,,-41.25504083,174.76649879,3,,0,,Pacific/Auckland
NGAU,NGAU,Ngauranga Station,,-41.249038,174.813013,3,,0,,Pacific/Auckland
PORI1,PORI1,Porirua Station,,-41.13757469,174.8434782,5,,0,PORI,
MANA1,MANA1,Mana Station,,-41.0952797,174.86823749,6,,0,MANA,
FEAT,FEAT,Featherston Station,,-41.11345390999999,175.32976323,11,,0,,Pacific/Auckland
KENE,KENE,Kenepuru Station,,-41.14962774,174.83811245,5,,0,,Pacific/Auckland
BOXH,BOXH,Box Hill Station,,-41.24601334,174.78875658,3,,0,,Pacific/Auckland
MATA,MATA,Matarawa Station,,-41.04880879,175.44873607,13,,0,,Pacific/Auckland
MANA2,MANA2,Mana Station,,-41.09528391,174.8681817,6,,0,MANA,
REDW2,REDW2,Redwood Station,,-41.17494090999999,174.82713836,4,,0,REDW,
EPUN,EPUN,Epuni Station,,-41.20750643,174.93031151,5,,0,,Pacific/Auckland
MAST,MAST,Masterton Station,,-40.94043328,175.65474837,14,,0,,Pacific/Auckland
PETO2,PETO2,Petone Station,,-41.22199619,174.86945863,4,,0,PETO,
KHAN2,KHAN2,Khandallah Station,,-41.24265542,174.7933911,3,,0,KHAN,
PAEK2,PAEK2,Paekākāriki Station,,-40.98716849,174.95437663,8,,0,PAEK,
WATE1,WATE1,Waterloo Station,,-41.21394593,174.92116387,4,,0,WATE,
TAWA1,TAWA1,Tawa Station,,-41.169538,174.828352,4,,0,TAWA,
WOOD,WOOD,Woodside Station,,-41.06736154,175.40189781,12,,0,,Pacific/Auckland
AVA,AVA,Ava Station,,-41.21955358999999,174.89200603,4,,0,,Pacific/Auckland
TAKA2,TAKA2,Takapu Road Station,,-41.18529832,174.82825794,4,,0,TAKA,
TAIT1,TAIT1,Taita Station,,-41.18038256,174.96084101,5,,0,TAIT,
PLIM1,PLIM1,Plimmerton Station,,-41.08379999999999,174.86734,6,,0,PLIM,
PARA1,PARA1,Paraparaumu Station,,-40.91667737,175.00722333,9,,0,PARA,
CART,CART,Carterton Station,,-41.02168247,175.52331266,13,,0,,Pacific/Auckland
RENA,RENA,Renall Street Station,,-40.94765033,175.6384081,14,,0,,Pacific/Auckland
MANO,MANO,Manor Park Station,,-41.156315,174.978929,6,,0,,Pacific/Auckland
AWAR,AWAR,Awarua Street Station,,-41.24650333999999,174.7742774,3,,0,,Pacific/Auckland
UPPE,UPPE,Upper Hutt Station,,-41.12623233,175.07031754,7,,0,,Pacific/Auckland
WATE2,WATE2,Waterloo Station,,-41.21389774,174.92109981,4,,0,WATE,
WELL2,WELL2,Wellington Station,,-41.27835,174.78066,1,,0,WELL,
TAWA2,TAWA2,Tawa Station,,-41.169105,174.828352,4,,0,TAWA,
TAKA1,TAKA1,Takapu Road Station,,-41.18528847999999,174.82830093,4,,0,TAKA,
SIML,SIML,Simla Crescent Station,,-41.24679734,174.78433654,3,,0,,Pacific/Auckland
TREN2,TREN2,Trentham Station,,-41.13783612999999,175.0383871,7/6,,0,TREN,
PLIM3,PLIM3,Plimmerton Station,,-41.08390554,174.8670662,6,,0,PLIM,
REDW,REDW,Redwood Station,,-41.175645949999996,174.827051305,4,,1,,Pacific/Auckland
TAIT,TAIT,Taita Station,,-41.18035079,174.96075452,5,,1,,Pacific/Auckland
NGAI,NGAI,Ngaio Station,,-41.25097096499999,174.771858475,3,,1,,Pacific/Auckland
PAEK,PAEK,Paekākāriki Station,,-40.987192230000005,174.95441017500002,8,,1,,Pacific/Auckland
PETO,PETO,Petone Station,,-41.222010964999996,174.8694881,4,,1,,Pacific/Auckland
TAKA,TAKA,Takapu Road Station,,-41.18529339999999,174.828279435,4,,1,,Pacific/Auckland
MANA,MANA,Mana Station,,-41.095281805,174.868209595,6,,1,,Pacific/Auckland
TREN,TREN,Trentham Station,,-41.13787778999999,175.03843415,7/6,,1,,Pacific/Auckland
KHAN,KHAN,Khandallah Station,,-41.24267127,174.7934371,3,,1,,Pacific/Auckland
PORI,PORI,Porirua Station,,-41.13757251999999,174.84337592999998,5,,1,,Pacific/Auckland
WALL,WALL,Wallaceville Station,,-41.130637465,175.05859547,7,,1,,Pacific/Auckland
TAWA,TAWA,Tawa Station,,-41.1693215,174.828352,4,,1,,Pacific/Auckland
PARA,PARA,Paraparaumu Station,,-40.916650345,175.007175645,9,,1,,Pacific/Auckland
WOBU,WOBU,Woburn Station,,-41.220877224999995,174.911263905,4,,1,,Pacific/Auckland
WELL,WELL,Wellington Station,,-41.27843602744041,174.78093550893652,1,,1,,Pacific/Auckland
WATE,WATE,Waterloo Station,,-41.213921835,174.92113184,4,,1,,Pacific/Auckland
PLIM,PLIM,Plimmerton Station,,-41.08386498333333,174.86722164333332,6,,1,,Pacific/Auckland
