route_id,service_id,trip_id,trip_headsign
6,Rail SaSu + Hol_20260823,JVL__0__9388__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
2,Rail MTuWThF-XHol_20260823,KPL__0__8216__RAIL__Rail_MTuWThF-XHol_20260823,Porirua Station
6,Rail SaSu + Hol_20260823,JVL__0__9366__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
5,Rail Sa_20260823,HVL__0__3816__RAIL__Rail_Sa_20260823,Upper Hutt
2,Rail MTuWThF-XHol_20260823,KPL__1__7211__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__1__9255__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail F-XHol_20260823,JVL__1__9399__RAIL__Rail_F-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__2615__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__2623__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__6214__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
6,Rail SaSu + Hol_20260823,JVL__0__9374__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
6,Rail MTuWThF-XHol_20260823,JVL__1__9279__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9242__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
3,Rail MEL WEST_20260823,MEL__1__5601__RAIL__Rail_MEL_WEST_20260823,Wellington Station
5,Rail SaSu + Hol_20260823,HVL__1__3821__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
3,Rail MEL WEST_20260823,MEL__0__5642__RAIL__Rail_MEL_WEST_20260823,Western Hutt
2,Rail SaSu + Hol_20260823,KPL__0__6454__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
6,Rail SaSu + Hol_20260823,JVL__0__9340__RAIL__Rail_SaSu_+_Hol_20260823,Johnsonville
2,Rail MTuWThF-XHol_20260823,KPL__0__8214__RAIL__Rail_MTuWThF-XHol_20260823,Porirua Station
5,Rail MTuWThF-XHol_20260823,HVL__0__3622__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
2,Rail SaSu + Hol_20260823,KPL__0__6424__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
5,Rail MTuWThF-XHol_20260823,HVL__1__3609__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__2617__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__1__9211__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__3641__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__6360__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
